unicef_region,iso3,country,vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
South Asia,AFG,Afghanistan,HepB3,65,65,62,64,67,68,66,63,64,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,ALB,Albania,HepB3,98,99,98,99,99,99,99,98,99,98,98,98,99,97,96,96,96,96,94,97,96,88,99,,,,,,,,,,,,,,
Middle East & North Africa,DZA,Algeria,HepB3,91,95,95,95,95,95,95,94,91,90,80,83,81,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,AND,Andorra,HepB3,94,94,96,94,97,99,96,96,94,91,84,79,77,81,84,84,84,75,80,75,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,AGO,Angola,HepB3,64,64,64,77,75,72,77,61,69,73,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ATG,Antigua and Barbuda,HepB3,99,99,99,99,98,99,98,98,98,97,99,99,97,99,99,96,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ARG,Argentina,HepB3,92,94,94,94,91,91,94,94,90,85,84,88,81,73,66,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,ARM,Armenia,HepB3,94,94,93,95,95,95,94,93,89,85,78,91,91,93,91,69,55,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,AUS,Australia,HepB3,94,93,91,91,91,92,92,94,94,94,95,95,95,95,95,94,,,,,,,,,,,,,,,,,,,,,
Western Europe,AUT,Austria,HepB3,87,93,98,95,92,89,86,83,83,85,83,86,83,83,81,44,33,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,AZE,Azerbaijan,HepB3,97,96,94,93,88,84,80,74,68,62,52,49,50,51,50,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BHS,Bahamas,HepB3,94,95,96,97,96,95,98,95,90,93,96,93,93,88,89,21,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,BHR,Bahrain,HepB3,99,98,98,99,99,99,99,98,97,97,98,98,98,98,98,99,97,97,95,95,96,95,93,90,57,,,,,,,,,,,,
South Asia,BGD,Bangladesh,HepB3,97,97,97,96,94,96,94,97,96,95,86,45,11,5,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BRB,Barbados,HepB3,97,97,94,91,87,91,86,93,85,93,84,92,93,91,66,18,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,BLR,Belarus,HepB3,96,99,97,98,97,98,96,98,98,91,98,99,99,56,99,93,70,,,,,,,,,,,,,,,,,,,,
Western Europe,BEL,Belgium,HepB3,97,98,98,98,98,97,97,97,98,94,94,77,64,64,60,60,60,46,31,2,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BLZ,Belize,HepB3,95,94,95,95,98,95,96,97,94,96,98,96,97,96,97,96,76,,,,,,,,,,,,,,,,,,,,
West & Central Africa,BEN,Benin,HepB3,82,82,78,77,80,75,76,79,75,82,74,70,75,73,15,,,,,,,,,,,,,,,,,,,,,,
South Asia,BTN,Bhutan,HepB3,98,99,99,97,97,95,91,93,96,95,95,95,89,95,83,89,98,90,81,84,16,,,,,,,,,,,,,,,,
Latin America & Caribbean,BOL,Bolivia (Plurinational State of),HepB3,99,99,98,94,93,95,91,93,88,84,83,85,84,80,77,77,77,,,,,,,,,,,,,,,,,,,,
