"Region, country or area", Total (in thousdands) , Male , Female , 0-14 (percentage) , 15-24 , 25-59 , 60+ ,Number under age 14
Denmark," 5,734 "," 2,852 "," 2,882 ", 16 , 13 , 45 , 25 ," 917,440 "
Djibouti, 957 , 480 , 477 , 31 , 20 , 42 , 6 ," 296,670 "
Dominica, 74 ,,,,,,, -   
Dominican Republic," 10,767 "," 5,361 "," 5,406 ", 29 , 18 , 43 , 10 ," 3,122,430 "
Ecuador," 16,625 "," 8,309 "," 8,316 ", 28 , 18 , 43 , 10 ," 4,655,000 "
Egypt," 97,553 "," 49,325 "," 48,228 ", 33 , 17 , 42 , 8 ," 32,192,490 "
El Salvador," 6,378 "," 2,995 "," 3,383 ", 27 , 20 , 41 , 12 ," 1,722,060 "
Equatorial Guinea," 1,268 ", 702 , 566 , 37 , 19 , 40 , 4 ," 469,160 "
Eritrea," 5,069 "," 2,540 "," 2,529 ", 42 , 19 , 34 , 5 ," 2,128,980 "
Estonia," 1,310 ", 614 , 696 , 16 , 9 , 48 , 26 ," 209,600 "
Ethiopia," 104,957 "," 52,406 "," 52,551 ", 41 , 22 , 32 , 5 ," 43,032,370 "
Faeroe Islands, 49 ,,,,,,, -   
Falkland Islands (Malvinas), 3 ,,,,,,, -   
Fiji, 906 , 460 , 446 , 28 , 17 , 45 , 10 ," 253,680 "
Finland," 5,523 "," 2,722 "," 2,801 ", 16 , 11 , 44 , 28 ," 883,680 "
France," 64,980 "," 31,949 "," 33,031 ", 18 , 12 , 44 , 26 ," 11,696,400 "
French Guiana, 283 , 141 , 141 , 33 , 17 , 41 , 8 ," 93,390 "
French Polynesia, 283 , 144 , 139 , 23 , 16 , 48 , 12 ," 65,090 "
Gabon," 2,025 "," 1,040 ", 985 , 36 , 18 , 40 , 6 ," 729,000 "
Gambia," 2,101 "," 1,040 "," 1,061 ", 45 , 20 , 31 , 4 ," 945,450 "
Georgia," 3,912 "," 1,868 "," 2,044 ", 19 , 12 , 48 , 21 ," 743,280 "
Germany," 82,114 "," 40,435 "," 41,679 ", 13 , 10 , 49 , 28 ," 10,674,820 "
Ghana," 28,834 "," 14,368 "," 14,466 ", 39 , 20 , 37 , 5 ," 11,245,260 "
Gibraltar, 35 ,,,,,,, -   
Greece," 11,160 "," 5,493 "," 5,667 ", 14 , 10 , 49 , 26 ," 1,562,400 "
Greenland, 56 ,,,,,,, -   
Grenada, 108 , 54 , 54 , 26 , 17 , 46 , 11 ," 28,080 "
Guadeloupe, 450 , 208 , 241 , 19 , 15 , 43 , 24 ," 85,500 "
Guam, 164 , 83 , 81 , 25 , 17 , 44 , 14 ," 41,000 "
Guatemala," 16,914 "," 8,324 "," 8,589 ", 35 , 21 , 37 , 7 ," 5,919,900 "
Guinea," 12,717 "," 6,376 "," 6,341 ", 42 , 20 , 33 , 5 ," 5,341,140 "
Guinea-Bissau," 1,861 ", 916 , 945 , 41 , 20 , 34 , 5 ," 763,010 "
Guyana, 778 , 393 , 385 , 29 , 21 , 42 , 9 ," 225,620 "
Haiti," 10,981 "," 5,430 "," 5,551 ", 33 , 20 , 40 , 7 ," 3,623,730 "
Holy See, 1 ,,,,,,, -   
Honduras," 9,265 "," 4,620 "," 4,645 ", 32 , 21 , 41 , 7 ," 2,964,800 "
Hungary," 9,722 "," 4,625 "," 5,097 ", 14 , 11 , 49 , 26 ," 1,361,080 "
Iceland, 335 , 168 , 167 , 20 , 14 , 46 , 20 ," 67,000 "
India," 1,339,180 "," 693,959 "," 645,221 ", 28 , 18 , 45 , 9 ," 374,970,400 "
Indonesia," 263,991 "," 132,898 "," 131,093 ", 27 , 17 , 47 , 9 ," 71,277,570 "
Iran (Islamic Republic of)," 81,163 "," 40,816 "," 40,347 ", 24 , 14 , 53 , 9 ," 19,479,120 "
Iraq," 38,275 "," 19,376 "," 18,899 ", 40 , 20 , 35 , 5 ," 15,310,000 "
Ireland," 4,762 "," 2,362 "," 2,400 ", 22 , 11 , 48 , 19 ," 1,047,640 "
Isle of Man, 84 ,,,,,,, -   
Israel," 8,322 "," 4,133 "," 4,188 ", 28 , 15 , 41 , 16 ," 2,330,160 "
Italy," 59,360 "," 28,929 "," 30,431 ", 14 , 10 , 48 , 29 ," 8,310,400 "
Jamaica," 2,890 "," 1,438 "," 1,452 ", 23 , 18 , 45 , 14 ," 664,700 "
Japan," 127,484 "," 62,256 "," 65,228 ", 13 , 9 , 44 , 33 ," 16,572,920 "
Jordan," 9,702 "," 4,913 "," 4,789 ", 36 , 19 , 40 , 6 ," 3,492,720 "
Kazakhstan," 18,204 "," 8,817 "," 9,388 ", 28 , 13 , 48 , 11 ," 5,097,120 "
Kenya," 49,700 "," 24,701 "," 24,999 ", 40 , 20 , 35 , 4 ," 19,880,000 "
Kiribati, 116 , 57 , 59 , 35 , 19 , 40 , 6 ," 40,600 "
Kuwait," 4,137 "," 2,375 "," 1,761 ", 21 , 12 , 62 , 5 ," 868,770 "
Kyrgyzstan," 6,045 "," 2,998 "," 3,048 ", 32 , 17 , 44 , 8 ," 1,934,400 "
Lao People's Dem Republic," 6,858 "," 3,421 "," 3,437 ", 33 , 21 , 40 , 6 ," 2,263,140 "
Latvia," 1,950 ", 895 ," 1,054 ", 15 , 10 , 49 , 26 ," 292,500 "
Lebanon," 6,082 "," 3,051 "," 3,031 ", 23 , 19 , 46 , 12 ," 1,398,860 "
Lesotho," 2,233 "," 1,084 "," 1,149 ", 35 , 22 , 36 , 7 ," 781,550 "
Liberia," 4,732 "," 2,387 "," 2,345 ", 42 , 20 , 34 , 5 ," 1,987,440 "
Libya," 6,375 "," 3,213 "," 3,161 ", 28 , 17 , 48 , 7 ," 1,785,000 "
Liechtenstein, 38 ,,,,,,, -   
Lithuania," 2,890 "," 1,332 "," 1,559 ", 15 , 12 , 48 , 25 ," 433,500 "
Luxembourg, 583 , 293 , 290 , 16 , 12 , 52 , 20 ," 93,280 "
Madagascar," 25,571 "," 12,752 "," 12,819 ", 41 , 21 , 34 , 5 ," 10,484,110 "
Malawi," 18,622 "," 9,225 "," 9,397 ", 44 , 21 , 31 , 4 ," 8,193,680 "
Malaysia," 31,624 "," 16,325 "," 15,299 ", 24 , 19 , 47 , 10 ," 7,589,760 "
Maldives, 436 , 248 , 188 , 23 , 16 , 54 , 6 ," 100,280 "
Mali," 18,542 "," 9,279 "," 9,263 ", 48 , 19 , 29 , 4 ," 8,900,160 "
Malta, 431 , 216 , 214 , 14 , 12 , 48 , 26 ," 60,340 "
Marshall Islands, 53 ,,,,,,, -   
Martinique, 385 , 175 , 210 , 18 , 11 , 45 , 26 ," 69,300 "
Mauritania," 4,420 "," 2,228 "," 2,192 ", 40 , 19 , 36 , 5 ," 1,768,000 "
Mauritius," 1,265 ", 626 , 639 , 18 , 15 , 50 , 17 ," 227,700 "
Mayotte, 253 , 124 , 129 , 41 , 19 , 35 , 6 ," 103,730 "
Mexico," 129,163 "," 64,312 "," 64,851 ", 27 , 18 , 45 , 10 ," 34,874,010 "
Micronesia (Fed States of), 106 , 54 , 51 , 33 , 23 , 36 , 8 ," 34,980 "
Monaco, 39 ,,,,,,, -   
Mongolia," 3,076 "," 1,521 "," 1,554 ", 30 , 15 , 49 , 7 ," 922,800 "
Montenegro, 629 , 310 , 319 , 18 , 13 , 47 , 21 ," 113,220 "
Montserrat, 5 ,,,,,,, -   
Morocco," 35,740 "," 17,701 "," 18,039 ", 27 , 17 , 45 , 11 ," 9,649,800 "
Mozambique," 29,669 "," 14,490 "," 15,179 ", 45 , 20 , 30 , 5 ," 13,351,050 "
Myanmar," 53,371 "," 26,068 "," 27,303 ", 27 , 18 , 46 , 9 ," 14,410,170 "
Namibia," 2,534 "," 1,233 "," 1,301 ", 37 , 21 , 37 , 5 ," 937,580 "
Nauru, 11 ,,,,,,, -   
Nepal," 29,305 "," 14,226 "," 15,079 ", 31 , 21 , 39 , 9 ," 9,084,550 "
Netherlands," 17,036 "," 8,476 "," 8,560 ", 16 , 12 , 46 , 25 ," 2,725,760 "
New Caledonia, 276 , 139 , 137 , 23 , 16 , 47 , 14 ," 63,480 "
New Zealand," 4,706 "," 2,314 "," 2,392 ", 20 , 14 , 46 , 21 ," 941,200 "
Nicaragua," 6,218 "," 3,065 "," 3,152 ", 29 , 19 , 44 , 8 ," 1,803,220 "
Niger," 21,477 "," 10,770 "," 10,708 ", 50 , 19 , 27 , 4 ," 10,738,500 "
Nigeria," 190,886 "," 96,729 "," 94,157 ", 44 , 19 , 32 , 4 ," 83,989,840 "
Niue, 2 ,,,,,,, -   
Northern Mariana Islands, 55 ,,,,,,, -   
Norway," 5,305 "," 2,677 "," 2,629 ", 18 , 13 , 47 , 22 ," 954,900 "
Oman," 4,636 "," 3,053 "," 1,584 ", 22 , 15 , 60 , 4 ," 1,019,920 "
Pakistan," 197,016 "," 101,199 "," 95,817 ", 35 , 19 , 39 , 7 ," 68,955,600 "
Palau, 22 ,,,,,,, -   
Panama," 4,099 "," 2,054 "," 2,045 ", 27 , 17 , 45 , 11 ," 1,106,730 "
Papua New Guinea," 8,251 "," 4,197 "," 4,054 ", 36 , 20 , 38 , 6 ," 2,970,360 "
Paraguay," 6,811 "," 3,455 "," 3,356 ", 29 , 20 , 42 , 9 ," 1,975,190 "
Peru," 32,165 "," 16,065 "," 16,100 ", 27 , 17 , 45 , 10 ," 8,684,550 "
Philippines," 104,918 "," 52,801 "," 52,117 ", 32 , 19 , 41 , 8 ," 33,573,760 "
Poland," 38,171 "," 18,434 "," 19,737 ", 15 , 11 , 50 , 24 ," 5,725,650 "
Portugal," 10,330 "," 4,888 "," 5,441 ", 14 , 10 , 48 , 28 ," 1,446,200 "
Puerto Rico," 3,663 "," 1,761 "," 1,902 ", 18 , 15 , 47 , 20 ," 659,340 "
Qatar," 2,639 "," 1,981 ", 658 , 14 , 15 , 68 , 3 ," 369,460 "
Republic of Korea," 50,982 "," 25,510 "," 25,472 ", 13 , 13 , 54 , 20 ," 6,627,660 "
Republic of Moldova," 4,051 "," 1,944 "," 2,107 ", 16 , 13 , 54 , 18 ," 648,160 "
R‚union, 877 , 424 , 452 , 24 , 15 , 45 , 16 ," 210,480 "
Romania," 19,679 "," 9,534 "," 10,145 ", 15 , 11 , 49 , 25 ," 2,951,850 "
Russian Federation," 143,990 "," 66,917 "," 77,072 ", 18 , 10 , 52 , 21 ," 25,918,200 "
Rwanda," 12,208 "," 5,987 "," 6,222 ", 40 , 19 , 36 , 5 ," 4,883,200 "
Saint Helena, 4 ,,,,,,, -   
Saint Kitts and Nevis, 55 ,,,,,,, -   
Saint Lucia, 179 , 88 , 91 , 19 , 18 , 50 , 14 ," 34,010 "
Saint Pierre and Miquelon, 6 ,,,,,,, -   
St Vincent and the Grenadines, 110 , 55 , 54 , 24 , 17 , 47 , 12 ," 26,400 "
Samoa, 196 , 101 , 95 , 37 , 20 , 35 , 8 ," 72,520 "
San Marino, 33 ,,,,,,, -   
Sao Tome and Principe, 204 , 102 , 103 , 43 , 20 , 33 , 4 ," 87,720 "
Saudi Arabia," 32,938 "," 18,798 "," 14,140 ", 25 , 15 , 54 , 6 ," 8,234,500 "
Senegal," 15,851 "," 7,787 "," 8,063 ", 43 , 19 , 33 , 5 ," 6,815,930 "
Serbia," 8,791 "," 4,295 "," 4,495 ", 16 , 12 , 47 , 24 ," 1,406,560 "
Seychelles, 95 , 47 , 48 , 22 , 12 , 52 , 13 ," 20,900 "
Sierra Leone," 7,557 "," 3,743 "," 3,815 ", 42 , 20 , 33 , 4 ," 3,173,940 "
Singapore," 5,709 "," 2,821 "," 2,888 ", 15 , 13 , 53 , 20 ," 856,350 "
Sint Maarten (Dutch part), 40 ,,,,,,, -   
Slovakia," 5,448 "," 2,648 "," 2,799 ", 15 , 11 , 52 , 22 ," 817,200 "
Slovenia," 2,080 "," 1,033 "," 1,047 ", 15 , 9 , 49 , 26 ," 312,000 "
Solomon Islands, 611 , 311 , 301 , 39 , 20 , 36 , 5 ," 238,290 "
Somalia," 14,743 "," 7,344 "," 7,399 ", 46 , 20 , 29 , 4 ," 6,781,780 "
South Africa," 56,717 "," 27,836 "," 28,881 ", 29 , 18 , 44 , 8 ," 16,447,930 "
South Sudan," 12,576 "," 6,301 "," 6,275 ", 42 , 20 , 33 , 5 ," 5,281,920 "
Spain," 46,354 "," 22,730 "," 23,625 ", 15 , 9 , 51 , 25 ," 6,953,100 "
Sri Lanka," 20,877 "," 10,034 "," 10,843 ", 24 , 15 , 46 , 15 ," 5,010,480 "
State of Palestine," 4,921 "," 2,495 "," 2,425 ", 40 , 21 , 35 , 5 ," 1,968,400 "
Sudan," 40,533 "," 20,257 "," 20,276 ", 41 , 20 , 33 , 5 ," 16,618,530 "
Suriname, 563 , 283 , 281 , 26 , 17 , 46 , 10 ," 146,380 "
Swaziland," 1,367 ", 662 , 705 , 37 , 22 , 36 , 5 ," 505,790 "
Sweden," 9,911 "," 4,960 "," 4,951 ", 18 , 12 , 45 , 25 ," 1,783,980 "
Switzerland," 8,476 "," 4,199 "," 4,277 ", 15 , 11 , 50 , 24 ," 1,271,400 "
Syrian Arab Republic," 18,270 "," 9,231 "," 9,039 ", 37 , 21 , 36 , 7 ," 6,759,900 "
Tajikistan," 8,921 "," 4,481 "," 4,441 ", 35 , 19 , 40 , 6 ," 3,122,350 "
TFYR Macedonia," 2,083 "," 1,041 "," 1,042 ", 17 , 13 , 51 , 19 ," 354,110 "
Thailand," 69,038 "," 33,665 "," 35,373 ", 17 , 14 , 52 , 17 ," 11,736,460 "
Timor-Leste," 1,296 ", 658 , 638 , 44 , 22 , 29 , 5 ," 570,240 "
Togo," 7,798 "," 3,887 "," 3,911 ", 42 , 19 , 35 , 5 ," 3,275,160 "
Tokelau, 1 ,,,,,,, -   
Tonga, 108 , 54 , 54 , 36 , 20 , 35 , 8 ," 38,880 "
Trinidad and Tobago," 1,369 ", 674 , 695 , 21 , 13 , 52 , 15 ," 287,490 "
Tunisia," 11,532 "," 5,697 "," 5,835 ", 24 , 15 , 49 , 12 ," 2,767,680 "
Turkey," 80,745 "," 39,767 "," 40,978 ", 25 , 16 , 47 , 12 ," 20,186,250 "
