unicef_region,iso3,country,vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
South Asia,AFG,Afghanistan,DTP1,73,73,73,76,78,78,72,72,75,76,75,76,72,66,62,59,48,52,52,48,56,44,33,41,45,47,50,58,60,50,32,37,39,24,24,,22
Eastern Europe & Central Asia,ALB,Albania,DTP1,99,99,99,99,99,99,99,99,99,98,98,99,98,97,98,97,98,98,99,99,98,98,99,98,97,92,97,97,98,98,98,98,98,98,98,97,97
Middle East & North Africa,DZA,Algeria,DTP1,96,99,99,99,99,99,99,98,97,98,98,94,93,93,93,92,95,92,94,96,96,96,95,96,96,96,96,95,93,92,92,88,,,,,
Western Europe,AND,Andorra,DTP1,99,99,99,98,99,99,99,99,99,98,97,99,99,99,99,98,99,96,96,96,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,AGO,Angola,DTP1,79,77,81,79,83,88,93,79,88,73,57,54,69,64,62,55,44,51,59,66,53,48,52,55,45,51,48,41,33,31,31,28,28,25,,,
Latin America & Caribbean,ATG,Antigua and Barbuda,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,98,99,99,99,99,99,99,99,99,97,99,99,98,98,98,99,97,99,92,92,77
Latin America & Caribbean,ARG,Argentina,DTP1,97,94,98,94,94,94,95,94,97,94,93,99,99,96,96,96,96,96,96,96,94,95,94,93,93,93,95,93,93,91,86,86,83,82,80,73,69
Eastern Europe & Central Asia,ARM,Armenia,DTP1,97,97,97,97,98,98,98,97,96,96,95,96,97,98,98,98,97,97,93,96,95,98,95,95,95,,,,,,,,,,,,
East Asia & Pacific,AUS,Australia,DTP1,98,97,92,92,92,92,97,97,97,97,97,97,97,97,97,97,96,96,84,91,95,95,96,96,97,97,98,97,96,93,91,87,83,78,72,65,58
Western Europe,AUT,Austria,DTP1,99,99,99,99,99,99,98,93,97,99,99,99,99,99,99,99,99,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
Eastern Europe & Central Asia,AZE,Azerbaijan,DTP1,98,97,96,95,94,94,94,90,90,87,86,81,84,83,82,83,83,83,81,78,82,79,77,65,64,,,,,,,,,,,,
