Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
Cameroon,CMR,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,401415
Canada,CAN,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,180517
Canada,CAN,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,191137
Caribbean small states,CSS,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Caribbean small states,CSS,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Cayman Islands,CYM,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Cayman Islands,CYM,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Central African Republic,CAF,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,76878
Central African Republic,CAF,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,77625
Central Europe and the Baltics,CEB,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Central Europe and the Baltics,CEB,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Chad,TCD,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,287594
Chad,TCD,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,293424
Channel Islands,CHI,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,776
Channel Islands,CHI,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,756
Chile,CHL,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,113805
Chile,CHL,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,118158
China,CHN,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,7757874
China,CHN,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,8900979
Colombia,COL,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,359655
Colombia,COL,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,376027
Comoros,COM,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,12354
Comoros,COM,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,12843
"Congo, Dem. Rep.",COD,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,1502018
"Congo, Dem. Rep.",COD,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,1534073
"Congo, Rep.",COG,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,79520
"Congo, Rep.",COG,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,81224
Costa Rica,CRI,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,32643
Costa Rica,CRI,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,34229
Cote d'Ivoire,CIV,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,397771
Cote d'Ivoire,CIV,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,404122
Croatia,HRV,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,17699
Croatia,HRV,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,18724
Cuba,CUB,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,55718
Cuba,CUB,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,58971
Curacao,CUW,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,1140
Curacao,CUW,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,1221
Cyprus,CYP,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,6218
Cyprus,CYP,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,6593
Czech Republic,CZE,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,45778
Czech Republic,CZE,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,48470
Denmark,DNK,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,26021
Denmark,DNK,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,27045
Djibouti,DJI,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,10362
Djibouti,DJI,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,10679
Dominica,DMA,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Dominica,DMA,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Dominican Republic,DOM,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,103243
Dominican Republic,DOM,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,107628
Early-demographic dividend,EAR,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Early-demographic dividend,EAR,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
East Asia & Pacific,EAS,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
East Asia & Pacific,EAS,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
East Asia & Pacific (excluding high income),EAP,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
East Asia & Pacific (excluding high income),EAP,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
East Asia & Pacific (IDA & IBRD countries),TEA,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
East Asia & Pacific (IDA & IBRD countries),TEA,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Ecuador,ECU,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,157245
Ecuador,ECU,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,164636
"Egypt, Arab Rep.",EGY,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,1304212
"Egypt, Arab Rep.",EGY,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,1387391
El Salvador,SLV,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,50275
El Salvador,SLV,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,52773
Equatorial Guinea,GNQ,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,13655
Equatorial Guinea,GNQ,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,13936
Eritrea,ERI,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Eritrea,ERI,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Estonia,EST,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,6067
Estonia,EST,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,6205
Ethiopia,ETH,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,1516984
Ethiopia,ETH,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,1561792
Euro area,EMU,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Euro area,EMU,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Europe & Central Asia,ECS,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Europe & Central Asia,ECS,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Europe & Central Asia (excluding high income),ECA,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Europe & Central Asia (excluding high income),ECA,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Europe & Central Asia (IDA & IBRD countries),TEC,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Europe & Central Asia (IDA & IBRD countries),TEC,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
European Union,EUU,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
European Union,EUU,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Faroe Islands,FRO,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Faroe Islands,FRO,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Fiji,FJI,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,8088
Fiji,FJI,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,8552
Finland,FIN,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,28017
Finland,FIN,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,29627
Fragile and conflict affected situations,FCS,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Fragile and conflict affected situations,FCS,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
France,FRA,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,379915
France,FRA,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,401262
French Polynesia,PYF,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,2892
French Polynesia,PYF,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,2940
Gabon,GAB,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,24712
Gabon,GAB,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,25284
"Gambia, The",GMB,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,40017
"Gambia, The",GMB,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,40846
Georgia,GEO,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,25989
Georgia,GEO,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,27229
Germany,DEU,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,337612
Germany,DEU,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,357192
Ghana,GHA,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,422952
Ghana,GHA,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,442724
Greece,GRC,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,47967
Greece,GRC,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,51028
Greenland,GRL,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Greenland,GRL,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Grenada,GRD,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,950
Grenada,GRD,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,998
Guam,GUM,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,1447
Guam,GUM,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,1511
Guatemala,GTM,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,214613
Guatemala,GTM,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,223397
Guinea,GIN,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,217828
Guinea,GIN,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,223516
Guinea-Bissau,GNB,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,31094
Guinea-Bissau,GNB,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,31455
Guyana,GUY,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,8276
Guyana,GUY,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,8559
Haiti,HTI,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,121301
Haiti,HTI,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,126360
Heavily indebted poor countries (HIPC),HPC,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Heavily indebted poor countries (HIPC),HPC,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
High income,HIC,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
High income,HIC,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Honduras,HND,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,79038
Honduras,HND,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,82410
"Hong Kong SAR, China",HKG,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,43114
"Hong Kong SAR, China",HKG,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,45568
Hungary,HUN,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,42190
Hungary,HUN,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,44904
Iceland,ISL,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,2154
Iceland,ISL,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,2079
India,IND,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,11582656
