unicef_region,iso3,country,vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
South Asia,AFG,Afghanistan,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,ALB,Albania,RCV1,96,97,98,99,98,99,99,97,98,97,95,97,96,93,96,95,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,DZA,Algeria,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,AND,Andorra,RCV1,97,96,96,95,98,99,99,98,98,94,91,94,98,96,98,97,97,97,90,90,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,AGO,Angola,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ATG,Antigua and Barbuda,RCV1,98,98,98,98,98,99,98,99,99,99,99,99,97,99,99,97,95,99,99,93,99,93,91,99,99,87,89,95,95,,,,,,,,
Latin America & Caribbean,ARG,Argentina,RCV1,90,89,95,94,94,95,95,96,96,94,97,98,99,97,95,89,91,97,95,93,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,ARM,Armenia,RCV1,97,97,97,97,97,97,97,96,94,92,92,94,92,94,91,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,AUS,Australia,RCV1,95,95,94,94,94,94,94,94,94,94,94,94,94,94,94,92,91,88,82,85,87,87,86,86,86,86,86,85,77,68,68,68,68,68,,,
Western Europe,AUT,Austria,RCV1,95,96,96,92,88,84,80,76,83,79,80,75,74,79,78,79,75,65,78,90,87,60,60,60,60,60,60,60,60,60,60,40,30,25,25,25,
Eastern Europe & Central Asia,AZE,Azerbaijan,RCV1,98,98,98,98,94,92,89,85,79,75,69,67,67,67,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BHS,Bahamas,RCV1,89,94,92,92,91,90,94,98,90,96,88,85,89,90,94,94,93,86,92,93,92,90,88,88,94,93,,,,,,,,,,,
Middle East & North Africa,BHR,Bahrain,RCV1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,94,99,94,95,95,93,90,87,88,87,85,78,78,78,78,65,59,54,50,45
South Asia,BGD,Bangladesh,RCV1,94,94,94,91,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BRB,Barbados,RCV1,92,96,95,87,90,93,85,94,94,75,92,93,98,90,91,93,94,86,97,92,99,92,97,92,90,92,87,85,84,85,84,88,84,55,53,,
Eastern Europe & Central Asia,BLR,Belarus,RCV1,98,99,99,99,98,99,99,99,99,99,97,99,99,99,99,99,98,98,98,97,96,,,,,,,,,,,,,,,,
Western Europe,BEL,Belgium,RCV1,96,96,96,96,96,95,95,95,93,92,92,88,82,82,82,82,82,82,80,76,73,85,78,70,87,67,85,75,75,50,90,82,,,,,
Latin America & Caribbean,BLZ,Belize,RCV1,95,96,95,99,96,98,98,97,96,96,99,95,97,96,88,94,96,82,84,85,81,,,,,,,,,,,,,,,,
West & Central Africa,BEN,Benin,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,BTN,Bhutan,RCV1,97,97,97,94,95,95,95,94,99,95,90,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BOL,Bolivia (Plurinational State of),RCV1,99,99,99,95,96,96,88,93,92,86,88,89,90,96,91,88,84,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,BIH,Bosnia and Herzegovina,RCV1,83,83,89,92,94,89,91,93,84,96,85,90,88,84,89,92,80,83,84,86,70,53,57,48,52,,,,,,,,,,,,
Eastern & Southern Africa,BWA,Botswana,RCV1,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BRA,Brazil,RCV1,96,96,97,98,99,99,99,99,99,99,99,98,97,97,96,99,99,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,BRN,Brunei Darussalam,RCV1,98,96,97,96,99,91,94,99,99,97,97,98,99,98,99,99,99,94,99,98,99,99,99,99,92,96,99,99,99,99,99,98,90,,,,
Eastern Europe & Central Asia,BGR,Bulgaria,RCV1,92,92,93,95,94,95,97,96,96,96,96,96,95,96,92,90,89,96,95,93,95,94,93,88,,,,,,,,,,,,,
West & Central Africa,BFA,Burkina Faso,RCV1,88,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,BDI,Burundi,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,CPV,Cabo Verde,RCV1,95,95,79,89,94,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,KHM,Cambodia,RCV1,81,81,80,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,CMR,Cameroon,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,CAN,Canada,RCV1,90,90,90,90,98,88,90,91,93,94,93,94,94,95,95,95,96,96,96,96,97,96,97,96,94,92,89,87,85,70,,,,,,,
West & Central Africa,CAF,Central African Republic,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,TCD,Chad,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,CHL,Chile,RCV1,93,96,97,90,90,91,93,93,96,92,91,90,94,96,95,96,97,94,98,96,93,97,96,94,89,99,97,,,,,,,,,,
East Asia & Pacific,CHN,China,RCV1,99,99,99,96,95,86,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,COL,Colombia,RCV1,93,94,91,92,94,88,88,89,95,93,95,96,94,93,93,93,88,79,78,80,90,95,,,,,,,,,,,,,,,
Eastern & Southern Africa,COM,Comoros,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,COG,Congo,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,COK,Cook Islands,RCV1,90,99,98,97,97,89,99,78,95,98,99,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,CRI,Costa Rica,RCV1,93,93,95,91,90,83,83,81,89,90,90,89,88,89,94,82,82,88,83,99,84,91,87,89,92,96,90,77,97,93,,,,,,,
West & Central Africa,CIV,Côte d’Ivoire,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,HRV,Croatia,RCV1,90,93,94,94,95,96,96,95,98,96,95,96,96,95,95,94,93,92,91,91,92,92,90,90,90,,,,,,,,,,,,
Latin America & Caribbean,CUB,Cuba,RCV1,99,99,99,99,99,99,99,99,98,97,96,98,99,99,98,96,94,96,99,96,99,99,99,96,99,99,94,98,89,99,80,,,,,,
Western Europe,CYP,Cyprus,RCV1,90,90,86,86,86,87,87,87,87,87,87,86,86,86,86,86,86,87,89,90,90,83,82,81,80,78,77,76,74,91,60,43,25,19,21,28,29
Western Europe,CZE,Czech Republic,RCV1,98,99,99,99,98,98,98,98,97,98,97,97,97,97,98,97,97,97,95,96,97,96,97,98,,,,,,,,,,,,,
East Asia & Pacific,PRK,Democratic People’s Republic of Korea,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,COD,Democratic Republic of the Congo,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,DNK,Denmark,RCV1,94,91,90,89,90,87,85,84,87,89,90,95,96,96,95,94,99,92,91,84,85,88,88,81,85,86,84,80,72,82,,,,,,,
Eastern & Southern Africa,DJI,Djibouti,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,DMA,Dominica,RCV1,96,96,94,93,99,99,99,99,99,96,97,98,99,99,99,99,99,99,98,99,99,99,99,99,99,98,88,88,,,,,,,,,
Latin America & Caribbean,DOM,Dominican Republic,RCV1,85,90,88,83,88,87,85,84,83,82,81,79,81,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ECU,Ecuador,RCV1,86,84,85,97,96,94,95,97,98,98,97,93,99,99,99,99,99,99,89,77,,,,,,,,,,,,,,,,,
Middle East & North Africa,EGY,Egypt,RCV1,95,92,93,96,93,96,96,95,92,97,97,97,96,97,96,99,97,95,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,SLV,El Salvador,RCV1,90,95,95,94,93,89,92,91,95,99,98,99,93,90,93,95,97,94,99,98,,,,,,,,,,,,,,,,,
West & Central Africa,GNQ,Equatorial Guinea,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ERI,Eritrea,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,EST,Estonia,RCV1,93,93,93,94,94,94,95,95,95,96,96,96,96,95,95,95,93,92,89,88,86,81,76,74,,,,,,,,,,,,,
Eastern & Southern Africa,ETH,Ethiopia,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,FJI,Fiji,RCV1,94,94,94,94,94,94,94,94,94,94,92,90,88,86,85,83,81,79,77,75,94,94,,,,,,,,,,,,,,,
Western Europe,FIN,Finland,RCV1,94,95,96,97,97,97,98,98,97,98,97,97,97,97,96,96,96,96,96,96,98,98,99,99,99,97,97,95,98,92,87,85,83,81,75,70,
Western Europe,FRA,France,RCV1,90,91,91,89,90,89,89,89,89,90,89,87,88,87,86,85,84,83,82,83,84,83,80,78,76,74,71,58,51,45,39,35,26,15,,,
West & Central Africa,GAB,Gabon,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GMB,Gambia,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,GEO,Georgia,RCV1,93,96,92,97,93,91,94,83,97,97,96,90,86,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,DEU,Germany,RCV1,97,97,97,97,97,97,97,97,97,97,96,96,96,95,94,94,92,92,92,91,91,92,90,89,75,75,,,,,,,,,,,
West & Central Africa,GHA,Ghana,RCV1,89,89,92,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,GRC,Greece,RCV1,97,97,97,99,99,99,99,99,99,99,98,96,95,94,92,91,89,88,89,90,90,70,,,,,,,,,,,,,,,
Latin America & Caribbean,GRD,Grenada,RCV1,95,99,94,94,94,95,95,98,99,98,98,99,74,99,96,99,92,94,97,92,85,88,87,99,,,,,,,,,,,,,
Latin America & Caribbean,GTM,Guatemala,RCV1,86,77,67,85,93,89,93,92,96,86,95,93,95,94,92,91,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GIN,Guinea,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GNB,Guinea-Bissau,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,GUY,Guyana,RCV1,99,99,99,99,99,98,95,97,95,96,90,92,88,89,93,92,86,87,93,82,91,77,,,,,,,,,,,,,,,
Latin America & Caribbean,HTI,Haiti,RCV1,53,53,53,65,65,65,64,63,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,HND,Honduras,RCV1,88,88,88,88,88,88,89,90,87,89,91,90,87,91,95,98,98,98,98,89,,,,,,,,,,,,,,,,,
Western Europe,HUN,Hungary,RCV1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,
Western Europe,ISL,Iceland,RCV1,91,93,90,91,90,94,93,92,96,95,95,90,93,93,91,88,91,94,96,99,99,99,98,99,99,99,99,99,99,97,95,96,96,81,,,
South Asia,IND,India,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,IDN,Indonesia,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,IRN,Iran (Islamic Republic of),RCV1,99,99,99,98,98,99,99,99,98,97,99,94,96,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,IRQ,Iraq,RCV1,64,62,60,57,68,77,77,87,76,64,52,58,41,45,48,52,,,,,82,80,,,,,,,,,,,,,,,
Western Europe,IRL,Ireland,RCV1,92,93,93,92,92,92,90,90,89,87,86,84,81,78,73,73,79,77,77,77,77,77,78,78,78,78,78,78,68,66,65,63,10,10,,,
Middle East & North Africa,ISR,Israel,RCV1,97,98,97,98,96,97,96,97,98,97,96,94,97,96,95,95,95,94,94,97,96,93,,,,,,,,,,,,,,,
Western Europe,ITA,Italy,RCV1,85,85,87,90,90,90,91,90,90,90,88,87,86,84,81,77,74,70,55,57,55,50,50,50,50,50,43,,,,,,,,,,
