unicef_region,iso3,country,vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Latin America & Caribbean,GTM,Guatemala,IPV1,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GIN,Guinea,IPV1,57,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GNB,Guinea-Bissau,IPV1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,GUY,Guyana,IPV1,98,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,HTI,Haiti,IPV1,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,HND,Honduras,IPV1,99,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,IND,India,IPV1,47,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,IDN,Indonesia,IPV1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,IRN,Iran (Islamic Republic of),IPV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,JAM,Jamaica,IPV1,95,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,JOR,Jordan,IPV1,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,KAZ,Kazakhstan,IPV1,93,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,KEN,Kenya,IPV1,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,KIR,Kiribati,IPV1,81,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,KWT,Kuwait,IPV1,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,KGZ,Kyrgyzstan,IPV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,LAO,Lao People’s Democratic Republic,IPV1,59,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,LBN,Lebanon,IPV1,84,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,LSO,Lesotho,IPV1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,LBR,Liberia,IPV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MDG,Madagascar,IPV1,65,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MWI,Malawi,IPV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MYS,Malaysia,IPV1,91,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,MDV,Maldives,IPV1,99,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,MLI,Mali,IPV1,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,MRT,Mauritania,IPV1,65,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MUS,Mauritius,IPV1,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,MEX,Mexico,IPV1,95,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MNG,Mongolia,IPV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
