,iso3,ISO_A3,ISO_N3,ABBREV,GEOUNIT,NAME_LONG,population,DTP1-16
116,GMB,GMB,270,Gambia,Gambia,The Gambia,945450.0,99.0
117,GNB,GNB,624,GnB.,Guinea Bissau,Guinea-Bissau,763010.0,95.0
118,GNQ,GNQ,226,Eq. G.,Equatorial Guinea,Equatorial Guinea,469160.0,40.0
119,GRC,GRC,300,Greece,Greece,Greece,1562400.0,99.0
120,GRD,GRD,308,Gren.,Grenada,Grenada,28080.0,98.0
122,GTM,GTM,320,Guat.,Guatemala,Guatemala,5919900.0,96.0
125,GUY,GUY,328,Guy.,Guyana,Guyana,225620.0,97.0
128,HND,HND,340,Hond.,Honduras,Honduras,2964800.0,99.0
130,HRV,HRV,191,Cro.,Croatia,Croatia,628350.0,98.0
131,HTI,HTI,332,Haiti,Haiti,Haiti,3623730.0,78.0
132,HUN,HUN,348,Hun.,Hungary,Hungary,1361080.0,99.0
133,IDN,IDN,360,Indo.,Indonesia,Indonesia,71277570.0,95.0
135,IND,IND,356,India,India,India,374970400.0,91.0
137,IRQ,-99,-99,KRG,Iraqi Kurdistan,Iraqi Kurdistan,15310000.0,73.0
138,IRQ,-99,-99,Iraq,Iraq,Iraq,15310000.0,73.0
139,IRL,IRL,372,Ire.,Ireland,Ireland,1047640.0,98.0
140,IRN,IRN,364,Iran,Iran,Iran,19479120.0,99.0
141,ISL,ISL,352,Iceland,Iceland,Iceland,67000.0,96.0
142,ISR,ISR,376,Isr.,Israel,Israel,2330160.0,94.0
143,ITA,ITA,380,Italy,Italy,Italy,8310400.0,97.0
144,JAM,JAM,388,Jam.,Jamaica,Jamaica,664700.0,99.0
146,JOR,JOR,400,Jord.,Jordan,Jordan,3492720.0,99.0
147,JPN,JPN,392,Japan,Japan,Japan,16572920.0,99.0
149,KAZ,-99,-99,Bayk.,Baykonur Cosmodrome,Baikonur Cosmodrome,5097120.0,93.0
150,KAZ,KAZ,398,Kaz.,Kazakhstan,Kazakhstan,5097120.0,93.0
151,KEN,KEN,404,Ken.,Kenya,Kenya,19880000.0,96.0
152,KGZ,KGZ,417,Kgz.,Kyrgyzstan,Kyrgyzstan,1934400.0,97.0
153,KHM,KHM,116,Camb.,Cambodia,Cambodia,4961550.0,92.0
154,KIR,KIR,296,Kir.,Kiribati,Kiribati,40600.0,82.0
155,KNA,KNA,659,St.K.N.,Saint Kitts and Nevis,Saint Kitts and Nevis,,99.0
156,KOR,KOR,410,S.K.,South Korea,Republic of Korea,6627660.0,98.0
157,SRB,-99,-99,Kos.,Kosovo,Kosovo,1406560.0,97.0
158,SRB,-99,-99,Serb.,Serbia,Serbia,1406560.0,97.0
159,SRB,-99,-99,Vojv.,Vojvodina,Vojvodina,1406560.0,97.0
161,KWT,KWT,414,Kwt.,Kuwait,Kuwait,868770.0,99.0
162,LAO,LAO,418,Laos,Laos,Lao PDR,,85.0
163,LBN,LBN,422,Leb.,Lebanon,Lebanon,1398860.0,84.0
164,LBR,LBR,430,Liberia,Liberia,Liberia,1987440.0,99.0
165,LBY,LBY,434,Libya,Libya,Libya,1785000.0,98.0
166,LCA,LCA,662,S.L.,Saint Lucia,Saint Lucia,34010.0,95.0
168,LKA,LKA,144,Sri L.,Sri Lanka,Sri Lanka,5010480.0,99.0
170,LSO,LSO,426,Les.,Lesotho,Lesotho,781550.0,98.0
171,LTU,LTU,440,Lith.,Lithuania,Lithuania,433500.0,97.0
172,LUX,LUX,442,Lux.,Luxembourg,Luxembourg,93280.0,99.0
173,LVA,LVA,428,Lat.,Latvia,Latvia,292500.0,99.0
176,MAR,MAR,504,Mor.,Morocco,Morocco,9649800.0,99.0
177,MAR,ESH,732,W. Sah.,Western Sahara,Western Sahara,9649800.0,99.0
178,MCO,MCO,492,Mco.,Monaco,Monaco,,99.0
179,MDA,MDA,498,Mda.,Moldova,Moldova,648160.0,94.0
180,MDG,MDG,450,Mad.,Madagascar,Madagascar,10484110.0,84.0
181,MDV,MDV,462,Mald.,Maldives,Maldives,100280.0,99.0
182,MEX,MEX,484,Mex.,Mexico,Mexico,34874010.0,99.0
183,MHL,MHL,584,M. Is.,Marshall Islands,Marshall Islands,,87.0
184,MKD,MKD,807,Mkd.,Macedonia,Macedonia,,97.0
185,MLI,MLI,466,Mali,Mali,Mali,8900160.0,86.0
186,MLT,MLT,470,Malta,Malta,Malta,60340.0,97.0
187,MMR,MMR,104,Myan.,Myanmar,Myanmar,14410170.0,94.0
188,MNE,MNE,499,Mont.,Montenegro,Montenegro,113220.0,97.0
189,MNG,MNG,496,Mong.,Mongolia,Mongolia,922800.0,99.0
191,MOZ,MOZ,508,Moz.,Mozambique,Mozambique,13351050.0,90.0
193,MRT,MRT,478,Mrt.,Mauritania,Mauritania,1768000.0,87.0
196,MUS,MUS,480,Mus.,Mauritius,Mauritius,227700.0,97.0
197,MWI,MWI,454,Mal.,Malawi,Malawi,8193680.0,89.0
198,MYS,MYS,458,Malay.,Malaysia,Malaysia,7589760.0,99.0
200,NAM,NAM,516,Nam.,Namibia,Namibia,937580.0,98.0
202,NER,NER,562,Niger,Niger,Niger,10738500.0,87.0
204,NGA,NGA,566,Nigeria,Nigeria,Nigeria,83989840.0,64.0
205,NIC,NIC,558,Nic.,Nicaragua,Nicaragua,1803220.0,99.0
206,NIU,NIU,570,Niue,Niue,Niue,,99.0
209,NLD,-99,-99,Neth.,Netherlands,Netherlands,2725760.0,98.0
211,NOR,NOR,578,Nor.,Norway,Norway,954900.0,99.0
212,NPL,NPL,524,Nepal,Nepal,Nepal,9084550.0,92.0
213,NRU,NRU,520,Nauru,Nauru,Nauru,,98.0
214,NZL,NZL,554,N.Z.,New Zealand,New Zealand,941200.0,92.0
215,OMN,OMN,512,Oman,Oman,Oman,1019920.0,99.0
216,PAK,PAK,586,Pak.,Pakistan,Pakistan,68955600.0,79.0
217,PAN,PAN,591,Pan.,Panama,Panama,1106730.0,96.0
219,PER,PER,604,Peru,Peru,Peru,8684550.0,94.0
220,PHL,PHL,608,Phil.,Philippines,Philippines,33573760.0,87.0
221,PLW,PLW,585,Palau,Palau,Palau,,99.0
222,PNG,-99,-99,Boug.,Bougainville,Bougainville,2970360.0,87.0
223,PNG,-99,-99,P.N.G.,Papua New Guinea,Papua New Guinea,2970360.0,87.0
224,POL,POL,616,Pol.,Poland,Poland,5725650.0,99.0
226,PRK,PRK,408,N.K.,North Korea,Dem. Rep. Korea,,97.0
227,PRT,-99,-99,Port.,Portugal,Portugal,1446200.0,99.0
228,PRY,PRY,600,Para.,Paraguay,Paraguay,1975190.0,99.0
230,QAT,QAT,634,Qatar,Qatar,Qatar,369460.0,99.0
232,ROU,ROU,642,Rom.,Romania,Romania,2951850.0,96.0
233,RUS,RUS,643,Rus.,Russia,Russian Federation,25918200.0,97.0
234,RWA,RWA,646,Rwa.,Rwanda,Rwanda,4883200.0,99.0
235,SAU,SAU,682,Saud.,Saudi Arabia,Saudi Arabia,8234500.0,98.0
236,SDN,SDN,729,Sudan,Sudan,Sudan,16618530.0,97.0
237,SSD,SSD,728,S. Sud.,South Sudan,South Sudan,5281920.0,35.0
238,SEN,SEN,686,Sen.,Senegal,Senegal,6815930.0,96.0
239,SGP,SGP,702,Sing.,Singapore,Singapore,856350.0,98.0
242,SLB,SLB,90,S. Is.,Solomon Islands,Solomon Islands,238290.0,99.0
243,SLE,SLE,694,S.L.,Sierra Leone,Sierra Leone,3173940.0,97.0
244,SLV,SLV,222,El. S.,El Salvador,El Salvador,1722060.0,97.0
245,SMR,SMR,674,S.M.,San Marino,San Marino,,78.0
246,SOM,-99,-99,Solnd.,Somaliland,Somaliland,6781780.0,52.0
247,SOM,-99,-99,Punt.,Puntland,Puntland,6781780.0,52.0
248,SOM,-99,-99,Som.,Somalia,Somalia,6781780.0,52.0
250,STP,STP,678,S.T.P.,Sao Tome and Principe,São Tomé and Principe,87720.0,97.0
251,SUR,SUR,740,Sur.,Suriname,Suriname,146380.0,92.0
252,SVK,SVK,703,Svk.,Slovakia,Slovakia,817200.0,99.0
253,SVN,SVN,705,Slo.,Slovenia,Slovenia,312000.0,98.0
254,SWE,SWE,752,Swe.,Sweden,Sweden,1783980.0,99.0
255,SWZ,SWZ,748,Swz.,Swaziland,Swaziland,505790.0,96.0
257,SYC,SYC,690,Syc.,Seychelles,Seychelles,20900.0,98.0
258,SYR,-99,-99,DOF,UNDOF,UNDOF Zone,6759900.0,61.0
259,SYR,SYR,760,Syria,Syria,Syrian Arab Republic,6759900.0,61.0
261,TCD,TCD,148,Chad,Chad,Chad,7003000.0,60.0
262,TGO,TGO,768,Togo,Togo,Togo,3275160.0,93.0
263,THA,THA,764,Thai.,Thailand,Thailand,11736460.0,99.0
264,TJK,TJK,762,Tjk.,Tajikistan,Tajikistan,3122350.0,98.0
266,TKM,TKM,795,Turkm.,Turkmenistan,Turkmenistan,1784980.0,99.0
267,TLS,TLS,626,T.L.,East Timor,Timor-Leste,570240.0,95.0
268,TON,TON,776,Tongo,Tonga,Tonga,38880.0,83.0
269,TTO,TTO,780,Tr.T.,Trinidad and Tobago,Trinidad and Tobago,287490.0,97.0
270,TUN,TUN,788,Tun.,Tunisia,Tunisia,2767680.0,99.0
271,TUR,TUR,792,Tur.,Turkey,Turkey,20186250.0,99.0
272,TUV,TUV,798,Tuv.,Tuvalu,Tuvalu,,99.0
274,TZA,TZA,834,Tanz.,Tanzania,Tanzania,25789500.0,99.0
275,TZA,-99,-99,Zan.,Zanzibar,Zanzibar,25789500.0,99.0
276,UGA,UGA,800,Uga.,Uganda,Uganda,20574240.0,89.0
277,UKR,UKR,804,Ukr.,Ukraine,Ukraine,6633450.0,42.0
278,URY,URY,858,Ury.,Uruguay,Uruguay,725970.0,97.0
279,USA,USA,840,U.S.A.,United States of America,United States,61647210.0,97.0
280,UZB,UZB,860,Uzb.,Uzbekistan,Uzbekistan,8935080.0,99.0
282,VCT,VCT,670,St.V.G.,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,,99.0
283,VEN,VEN,862,Ven.,Venezuela,Venezuela,8953560.0,98.0
286,VNM,VNM,704,Viet.,Vietnam,Vietnam,21974430.0,96.0
287,VUT,VUT,548,Van.,Vanuatu,Vanuatu,99360.0,75.0
290,WSM,WSM,882,Samoa,Samoa,Samoa,72520.0,95.0
291,YEM,YEM,887,Yem.,Yemen,Yemen,11300000.0,76.0
292,ZAF,ZAF,710,S.Af.,South Africa,South Africa,16447930.0,78.0
293,ZMB,ZMB,894,Zambia,Zambia,Zambia,7692300.0,99.0
294,ZWE,ZWE,716,Zimb.,Zimbabwe,Zimbabwe,6777300.0,94.0
