,iso3,ISO_A3,ISO_N3,name_abbrev,GEOUNIT,NAME_LONG,population,DTP1-16,name,id,lat,lon,amt,amt_refugee
16,BEL,-99,-99.0,Brus.,Brussels Capital Region,Brussels,1942930.0,99.0,,,,,,
17,BEL,-99,-99.0,Flem.,Flemish Region,Flemish Region,1942930.0,99.0,,,,,,
18,BEL,-99,-99.0,Wal.,Walloon Region,Walloon Region,1942930.0,99.0,,,,,,
19,BDI,BDI,108.0,Bur.,Burundi,Burundi,4888800.0,97.0,Burundi,108.0,,,232.25,11285180
20,BEN,BEN,204.0,Benin,Benin,Benin,4805680.0,86.0,Benin,204.0,,,7.25,98670
21,BFA,BFA,854.0,B.F.,Burkina Faso,Burkina Faso,8636850.0,95.0,Burkina Faso,854.0,,,164.75,253713060
22,BGD,BGD,50.0,Bang.,Bangladesh,Bangladesh,46107600.0,99.0,Bangladesh,50.0,,,105.0,218160
23,BGR,BGR,100.0,Bulg.,Bulgaria,Bulgaria,991900.0,94.0,Bulgaria,100.0,,,218.0,3611000
24,BIH,-99,-99.0,B.D.,Brcko District,Brcko District,490980.0,90.0,,,,,,
25,BIH,-99,-99.0,B.H.,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,490980.0,90.0,Bosnia and Herzegovina,70.0,,,73.0,163800
26,BIH,-99,-99.0,Srp.,Republic Srpska,Republic Srpska,490980.0,90.0,,,,,,
27,BHR,BHR,48.0,Bahr.,Bahrain,Bahrain,298600.0,99.0,Bahrain,48.0,26.028,50.55,8.0,4805680
28,BHS,BHS,44.0,Bhs.,The Bahamas,Bahamas,79000.0,95.0,Bahamas,44.0,,,139.75,116250
29,BLR,BLR,112.0,Bela.,Belarus,Belarus,1609560.0,99.0,Belarus,112.0,,,64.75,490980
30,BLZ,BLZ,84.0,Belize,Belize,Belize,116250.0,98.0,Belize,84.0,,,126.0,46043360
31,BOL,BOL,68.0,Bolivia,Bolivia,Bolivia,3536640.0,99.0,Bolivia,68.0,,,76.5,4888800
32,BRA,BRA,76.0,Brazil,Brazil,Brazil,46043360.0,89.0,Brazil,76.0,,,171.5,10343220
33,BRN,BRN,96.0,Brunei,Brunei,Brunei Darussalam,98670.0,99.0,Brunei,96.0,,,109.75,7003000
34,BTN,BTN,64.0,Bhutan,Bhutan,Bhutan,218160.0,99.0,Bhutan,64.0,,,224.25,8636850
35,BWA,BWA,72.0,Bwa.,Botswana,Botswana,710520.0,98.0,Botswana,72.0,,,4.5,4961550
36,CAF,CAF,140.0,C.A.R.,Central African Republic,Central African Republic,2003370.0,69.0,Central African Republic,140.0,,,21.5,628350
37,CAN,CAN,124.0,Can.,Canada,Canada,5859840.0,96.0,Canada,124.0,,,168.0,-
38,CHE,CHE,756.0,Switz.,Switzerland,Switzerland,1271400.0,99.0,Switzerland,756.0,,,65.0,20
39,CHL,CHL,152.0,Chile,Chile,Chile,3611000.0,99.0,Chile,152.0,,,7.25,200600
40,CHN,CHN,156.0,China,China,China,253713060.0,99.0,China,156.0,,,8.25,
41,CIV,CIV,384.0,I.C.,Ivory Coast,Côte d'Ivoire,,98.0,Ivory Coast,384.0,,,159.0,8900160
42,FRA,-99,-99.0,Clp. I.,Clipperton Island,Clipperton Island,11696400.0,99.0,,,,,,
43,FRA,FRA,249.0,Fr.,France,France,11696400.0,99.0,France,250.0,,,186.5,225620
44,CMR,CMR,120.0,Cam.,Cameroon,Cameroon,10343220.0,92.0,Cameroon,120.0,,,24.25,2209620
45,CYP,-99,-99.0,,Cyprus No Mans Area,Cyprus U.N. Buffer Zone,200600.0,98.0,,,,,,
46,CYP,-99,-99.0,N. Cy.,Northern Cyprus,Northern Cyprus,200600.0,98.0,Northern Cyprus,-1.0,,,75.25,"238,290"
47,CYP,CYP,196.0,Cyp.,Cyprus,Cyprus,200600.0,98.0,Cyprus,196.0,,,96.0,1722060
48,COD,COD,180.0,D.R.C.,Democratic Republic of the Congo,Democratic Republic of the Congo,,80.0,Congo,180.0,,,153.5,917440
49,COG,COG,178.0,Rep. Congo,Republic of Congo,Republic of Congo,2209620.0,85.0,Republic of Congo,178.0,,,232.5,3275160
50,COK,COK,184.0,Cook Is.,Cook Islands,Cook Islands,,99.0,Cook Islands,184.0,-21.2,-159.767,196.25,296670
51,COL,COL,170.0,Col.,Colombia,Colombia,11285180.0,93.0,Colombia,170.0,,,107.0,
52,COM,COM,174.0,Com.,Comoros,Comoros,325600.0,96.0,Comoros,174.0,-11.683,43.267,95.75,
53,CPV,CPV,132.0,C.Vd.,Cape Verde,Cape Verde,163800.0,96.0,Cape Verde,132.0,15.111,-23.617,15.75,1079320
54,CRI,CRI,188.0,C.R.,Costa Rica,Costa Rica,1079320.0,99.0,Costa Rica,188.0,,,222.25,-
55,CUB,CUB,192.0,Cuba,Cuba,Cuba,1837600.0,99.0,Cuba,192.0,,,100.25,4655000
56,CZE,CZE,203.0,Cz. Rep.,Czech Republic,Czech Republic,,98.0,Czech Republic,203.0,,,196.25,469160
57,DEU,DEU,276.0,Ger.,Germany,Germany,10674820.0,95.0,Germany,276.0,,,111.75,71277570
58,DJI,DJI,262.0,Dji.,Djibouti,Djibouti,296670.0,90.0,Djibouti,262.0,,,149.75,209600
59,DMA,DMA,212.0,D'inca,Dominica,Dominica,,99.0,Dominica,212.0,15.3,-61.383,145.0,43032370
60,DNK,DNK,208.0,Den.,Denmark,Denmark,917440.0,97.0,Denmark,208.0,,,23.75,2128980
61,DOM,DOM,214.0,Dom. Rep.,Dominican Republic,Dominican Republic,3122430.0,98.0,Dominican Republic,214.0,,,222.0,253680
62,DZA,DZA,12.0,Alg.,Algeria,Algeria,11982220.0,96.0,Algeria,12.0,,,233.0,-
63,ECU,ECU,218.0,Ecu.,Ecuador,Ecuador,4655000.0,94.0,Ecuador,218.0,,,35.5,11696400
64,EGY,EGY,818.0,Egypt,Egypt,Egypt,32192490.0,96.0,Egypt,818.0,,,125.0,729000
65,ERI,ERI,232.0,Erit.,Eritrea,Eritrea,2128980.0,97.0,Eritrea,232.0,,,7.25,10674820
66,GBR,-99,-99.0,Dhek.,Dhekelia Sovereign Base Area,Dhekelia,,98.0,,,,,,
67,GBR,-99,-99.0,Akr.,Akrotiri Sovereign Base Area,Akrotiri,,98.0,,,,,,
68,ESP,ESP,724.0,Sp.,Spain,Spain,6953100.0,99.0,Spain,724.0,,,75.25,147
69,EST,EST,233.0,Est.,Estonia,Estonia,209600.0,94.0,Estonia,233.0,,,174.5,11245260
70,ETH,ETH,231.0,Eth.,Ethiopia,Ethiopia,43032370.0,86.0,Ethiopia,231.0,,,193.75,1562400
71,FIN,FIN,246.0,Fin.,Finland,Finland,883680.0,99.0,Finland,246.0,,,85.75,763010
72,FJI,FJI,242.0,Fiji,Fiji,Fiji,253680.0,99.0,Fiji,242.0,,,74.5,5341140
73,FSM,FSM,583.0,F.S.M.,Federated States of Micronesia,Federated States of Micronesia,,95.0,Micronesia,583.0,6.917,158.183,115.75,"1,446,200"
74,GAB,GAB,266.0,Gabon,Gabon,Gabon,729000.0,83.0,Gabon,266.0,,,85.25,1361080
75,PSE,-99,275.0,Gaza,Gaza,Gaza,1968400.0,99.0,,,,,,
76,PSE,-99,275.0,W.B.,West Bank,West Bank,1968400.0,99.0,,,,,,
77,GEO,-99,-99.0,Ajaria,Ajaria,Adjara,743280.0,97.0,,,,,,
78,GEO,-99,-99.0,Geo.,Georgia,Georgia,743280.0,97.0,Georgia,268.0,,,176.75,374970400
79,GHA,GHA,288.0,Ghana,Ghana,Ghana,11245260.0,94.0,Ghana,288.0,,,188.75,19479120
80,GIN,GIN,324.0,Gin.,Guinea,Guinea,5341140.0,65.0,Guinea,324.0,,,117.5,5097120
81,GMB,GMB,270.0,Gambia,Gambia,The Gambia,945450.0,99.0,Gambia,270.0,,,217.5,67000
82,GNB,GNB,624.0,GnB.,Guinea Bissau,Guinea-Bissau,763010.0,95.0,Guinea-Bissau,624.0,,,171.25,19880000
83,GNQ,GNQ,226.0,Eq. G.,Equatorial Guinea,Equatorial Guinea,469160.0,40.0,Equatorial Guinea,226.0,,,242.5,743280
84,GRC,GRC,300.0,Greece,Greece,Greece,1562400.0,99.0,Greece,300.0,,,82.25,1047640
85,GRD,GRD,308.0,Gren.,Grenada,Grenada,28080.0,98.0,Grenada,308.0,12.05,-61.75,46.25,8310400
86,GTM,GTM,320.0,Guat.,Guatemala,Guatemala,5919900.0,96.0,Guatemala,320.0,,,102.75,16572920
87,GUY,GUY,328.0,Guy.,Guyana,Guyana,225620.0,97.0,Guyana,328.0,,,36.75,40600
88,HND,HND,340.0,Hond.,Honduras,Honduras,2964800.0,99.0,Honduras,340.0,,,163.5,
89,HRV,HRV,191.0,Cro.,Croatia,Croatia,628350.0,98.0,Croatia,191.0,,,158.25,3122430
90,HTI,HTI,332.0,Haiti,Haiti,Haiti,3623730.0,78.0,Haiti,332.0,,,124.25,868770
91,HUN,HUN,348.0,Hun.,Hungary,Hungary,1361080.0,99.0,Hungary,348.0,,,19.0,1398860
92,IDN,IDN,360.0,Indo.,Indonesia,Indonesia,71277570.0,95.0,Indonesia,360.0,,,224.0,1785000
93,IND,IND,356.0,India,India,India,374970400.0,91.0,India,356.0,,,217.25,1987440000
94,IRQ,-99,-99.0,KRG,Iraqi Kurdistan,Iraqi Kurdistan,15310000.0,73.0,,,,,,
95,IRQ,-99,-99.0,Iraq,Iraq,Iraq,15310000.0,73.0,Iraq,368.0,,,206.0,93280
96,IRL,IRL,372.0,Ire.,Ireland,Ireland,1047640.0,98.0,Ireland,372.0,,,180.75,10484110
97,IRN,IRN,364.0,Iran,Iran,Iran,19479120.0,99.0,Iran,364.0,,,246.75,433500
98,ISL,ISL,352.0,Iceland,Iceland,Iceland,67000.0,96.0,Iceland,352.0,,,83.5,781550
99,ISR,ISR,376.0,Isr.,Israel,Israel,2330160.0,94.0,Israel,376.0,,,0.75,7589760
100,ITA,ITA,380.0,Italy,Italy,Italy,8310400.0,97.0,Italy,380.0,,,87.5,100280
101,JAM,JAM,388.0,Jam.,Jamaica,Jamaica,664700.0,99.0,Jamaica,388.0,,,241.25,60340
102,JOR,JOR,400.0,Jord.,Jordan,Jordan,3492720.0,99.0,Jordan,400.0,,,164.0,227700
103,JPN,JPN,392.0,Japan,Japan,Japan,16572920.0,99.0,Japan,392.0,,,53.25,-
104,KAZ,-99,-99.0,Bayk.,Baykonur Cosmodrome,Baikonur Cosmodrome,5097120.0,93.0,,,,,,
105,KAZ,KAZ,398.0,Kaz.,Kazakhstan,Kazakhstan,5097120.0,93.0,Kazakhstan,398.0,,,42.0,34874010
106,KEN,KEN,404.0,Ken.,Kenya,Kenya,19880000.0,96.0,Kenya,404.0,,,82.5,
107,KGZ,KGZ,417.0,Kgz.,Kyrgyzstan,Kyrgyzstan,1934400.0,97.0,Kyrgyzstan,417.0,,,91.25,9649800
108,KHM,KHM,116.0,Camb.,Cambodia,Cambodia,4961550.0,92.0,Cambodia,116.0,,,49.75,325600
109,KIR,KIR,296.0,Kir.,Kiribati,Kiribati,40600.0,82.0,Kiribati,296.0,1.467,173.033,207.0,-
110,KNA,KNA,659.0,St.K.N.,Saint Kitts and Nevis,Saint Kitts and Nevis,,99.0,St. Kitts and Nevis,659.0,17.3,-62.733,94.75,42
111,KOR,KOR,410.0,S.K.,South Korea,Republic of Korea,6627660.0,98.0,South Korea,410.0,,,187.5,799
112,SRB,-99,-99.0,Kos.,Kosovo,Kosovo,1406560.0,97.0,Kosovo,-2.0,,,179.25,"922,800"
113,SRB,-99,-99.0,Serb.,Serbia,Serbia,1406560.0,97.0,Serbia,688.0,,,93.75,
114,SRB,-99,-99.0,Vojv.,Vojvodina,Vojvodina,1406560.0,97.0,,,,,,
115,KWT,KWT,414.0,Kwt.,Kuwait,Kuwait,868770.0,99.0,Kuwait,414.0,,,118.25,113220
116,LAO,LAO,418.0,Laos,Laos,Lao PDR,,85.0,Laos,418.0,,,35.75,13351050
117,LBN,LBN,422.0,Leb.,Lebanon,Lebanon,1398860.0,84.0,Lebanon,422.0,,,235.75,937580
118,LBR,LBR,430.0,Liberia,Liberia,Liberia,1987440.0,99.0,Liberia,430.0,,,188.0,9084550
119,LBY,LBY,434.0,Libya,Libya,Libya,1785000.0,98.0,Libya,434.0,,,244.0,2725760
120,LCA,LCA,662.0,S.L.,Saint Lucia,Saint Lucia,34010.0,95.0,Sierra Leone,694.0,,,134.0,61647210
121,LCA,LCA,662.0,S.L.,Saint Lucia,Saint Lucia,34010.0,95.0,St. Lucia,662.0,14.017,-60.983,192.25,1139
