,unicef_region,iso3,country,vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,economy,millions of US dollars
40,Latin America & Caribbean,CRI,Costa Rica,DTP1,99.0,93.0,91.0,98.0,92.0,87.0,96.0,91.0,90.0,90.0,89.0,97.0,96.0,89.0,98.0,91.0,90.0,92.0,95.0,97.0,95.0,95.0,96.0,96.0,96.0,96.0,98.0,95.0,95.0,97.0,96.0,96.0,97.0,95.0,93.0,95.0,95.0,Costa Rica,"57,436"
41,West & Central Africa,CIV,CÙte díIvoire,DTP1,98.0,99.0,93.0,89.0,93.0,75.0,95.0,95.0,89.0,93.0,95.0,83.0,73.0,71.0,76.0,81.0,85.0,77.0,74.0,77.0,70.0,64.0,72.0,77.0,73.0,64.0,77.0,67.0,56.0,56.0,55.0,50.0,42.0,,,,,Côte d'Ivoire,"36,165"
42,Eastern Europe & Central Asia,HRV,Croatia,DTP1,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,98.0,99.0,94.0,95.0,96.0,96.0,97.0,97.0,96.0,95.0,95.0,94.0,,,,,,,,,,,,,Croatia,"50,425"
43,Latin America & Caribbean,CUB,Cuba,DTP1,99.0,99.0,99.0,99.0,99.0,99.0,96.0,98.0,96.0,97.0,98.0,99.0,89.0,90.0,99.0,99.0,98.0,95.0,99.0,99.0,96.0,99.0,99.0,99.0,97.0,99.0,97.0,98.0,98.0,95.0,99.0,97.0,95.0,99.0,99.0,87.0,86.0,Cuba,"87,133"
44,Western Europe,CYP,Cyprus,DTP1,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,96.0,97.0,97.0,82.0,55.0,59.0,51.0,79.0,59.0,Cyprus,"19,802"
45,Western Europe,CZE,Czech Republic,DTP1,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,99.0,,,,,,,,,,,,,,Czech Republic,"192,925"
46,East Asia & Pacific,PRK,Democratic Peopleís Republic of Korea,DTP1,97.0,97.0,94.0,94.0,97.0,95.0,94.0,94.0,93.0,93.0,91.0,83.0,75.0,70.0,65.0,63.0,61.0,58.0,56.0,54.0,74.0,84.0,91.0,96.0,96.0,98.0,98.0,98.0,95.0,95.0,82.0,78.0,86.0,76.0,75.0,76.0,74.0,"Korea, Dem. People's Rep.", .. 
47,West & Central Africa,COD,Democratic Republic of the Congo,DTP1,80.0,82.0,81.0,79.0,81.0,85.0,71.0,82.0,73.0,78.0,71.0,68.0,66.0,53.0,47.0,49.0,49.0,46.0,44.0,41.0,41.0,47.0,51.0,54.0,47.0,39.0,60.0,63.0,66.0,63.0,57.0,62.0,52.0,39.0,40.0,41.0,,"Congo, Dem. Rep.","34,999"
48,Western Europe,DNK,Denmark,DTP1,97.0,96.0,96.0,97.0,97.0,94.0,93.0,90.0,89.0,87.0,93.0,93.0,95.0,98.0,99.0,97.0,98.0,99.0,99.0,97.0,94.0,97.0,96.0,97.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,99.0,95.0,96.0,97.0,97.0,97.0,Denmark,"306,143"
49,Eastern & Southern Africa,DJI,Djibouti,DTP1,90.0,90.0,93.0,87.0,85.0,89.0,90.0,90.0,90.0,92.0,76.0,73.0,81.0,76.0,72.0,65.0,66.0,63.0,60.0,57.0,66.0,66.0,66.0,66.0,66.0,77.0,95.0,91.0,85.0,50.0,48.0,46.0,45.0,36.0,25.0,,,Djibouti,"1,727"
50,Latin America & Caribbean,DMA,Dominica,DTP1,99.0,99.0,99.0,98.0,98.0,99.0,99.0,99.0,96.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,97.0,98.0,98.0,97.0,97.0,94.0,97.0,99.0,98.0,84.0,Dominica,525
51,Latin America & Caribbean,DOM,Dominican Republic,DTP1,98.0,99.0,95.0,91.0,92.0,91.0,96.0,85.0,86.0,87.0,93.0,92.0,87.0,88.0,92.0,95.0,91.0,95.0,91.0,86.0,88.0,89.0,90.0,91.0,90.0,88.0,87.0,80.0,80.0,93.0,93.0,64.0,59.0,54.0,53.0,52.0,61.0,Dominican Republic,"71,584"
52,Latin America & Caribbean,ECU,Ecuador,DTP1,94.0,80.0,84.0,87.0,88.0,89.0,91.0,98.0,98.0,98.0,96.0,96.0,95.0,95.0,95.0,95.0,94.0,93.0,94.0,93.0,94.0,94.0,94.0,95.0,95.0,81.0,87.0,78.0,77.0,75.0,69.0,66.0,72.0,56.0,60.0,51.0,31.0,Ecuador,"97,802"
53,Middle East & North Africa,EGY,Egypt,DTP1,96.0,94.0,96.0,97.0,94.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,98.0,98.0,97.0,96.0,96.0,96.0,94.0,93.0,92.0,91.0,95.0,96.0,95.0,93.0,93.0,94.0,87.0,80.0,80.0,80.0,80.0,"Egypt, Arab Rep.","336,297"
54,Latin America & Caribbean,SLV,El Salvador,DTP1,97.0,93.0,96.0,97.0,92.0,90.0,90.0,97.0,99.0,99.0,98.0,96.0,96.0,98.0,93.0,97.0,99.0,98.0,99.0,98.0,98.0,99.0,96.0,92.0,82.0,82.0,93.0,84.0,84.0,77.0,74.0,78.0,56.0,45.0,67.0,67.0,69.0,El Salvador,"26,797"
55,West & Central Africa,GNQ,Equatorial Guinea,DTP1,40.0,28.0,59.0,49.0,56.0,59.0,59.0,60.0,60.0,61.0,61.0,62.0,62.0,63.0,63.0,64.0,64.0,65.0,94.0,94.0,94.0,94.0,94.0,94.0,95.0,96.0,96.0,72.0,42.0,31.0,21.0,21.0,,,,,,Equatorial Guinea,"10,179"
56,Eastern & Southern Africa,ERI,Eritrea,DTP1,97.0,98.0,97.0,97.0,97.0,99.0,96.0,96.0,98.0,95.0,97.0,99.0,99.0,97.0,94.0,91.0,88.0,97.0,90.0,83.0,75.0,68.0,61.0,49.0,,,,,,,,,,,,,,Eritrea, .. 
57,Western Europe,EST,Estonia,DTP1,94.0,94.0,95.0,96.0,96.0,96.0,96.0,97.0,97.0,98.0,98.0,99.0,98.0,99.0,99.0,99.0,96.0,98.0,97.0,96.0,96.0,94.0,92.0,90.0,,,,,,,,,,,,,,Estonia,"23,137"
