,unicef_region,iso3,country,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,GDP, Total (in thousdands) ,Pop % under 14, 15-24 , 25-59 , 60+ ,Pop # under 14
16,Western Europe,BEL,Belgium,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,95.0,98.0,97.0,98.0,98.0,98.0,97.0,97.0,97.0,93.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,"466,366","11,429",17.0,11.0,47,25.0,1942930.0
17,Latin America & Caribbean,BLZ,Belize,98.0,97.0,96.0,96.0,99.0,98.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,96.0,96.0,95.0,95.0,95.0,94.0,96.0,96.0,96.0,94.0,97.0,88.0,90.0,87.0,98.0,81.0,77.0,81.0,74.0,77.0,72.0,"1,765",375,31.0,20.0,42,6.0,116250.0
18,West & Central Africa,BEN,Benin,86.0,86.0,86.0,86.0,89.0,85.0,87.0,89.0,91.0,94.0,89.0,84.0,85.0,86.0,87.0,88.0,89.0,88.0,87.0,86.0,86.0,82.0,89.0,87.0,86.0,83.0,86.0,68.0,51.0,46.0,36.0,36.0,,,,,,"8,583","11,176",43.0,20.0,32,5.0,4805680.0
19,South Asia,BTN,Bhutan,99.0,99.0,99.0,97.0,97.0,98.0,94.0,97.0,97.0,98.0,97.0,97.0,92.0,96.0,95.0,96.0,96.0,95.0,96.0,95.0,95.0,95.0,95.0,92.0,95.0,97.0,98.0,91.0,88.0,84.0,77.0,66.0,53.0,39.0,37.0,35.0,25.0,"2,237",808,27.0,19.0,47,7.0,218160.0
20,Latin America & Caribbean,BOL,Bolivia (Plurinational State of),99.0,99.0,99.0,98.0,97.0,98.0,97.0,97.0,96.0,85.0,87.0,93.0,88.0,96.0,94.0,91.0,92.0,92.0,86.0,80.0,82.0,84.0,80.0,76.0,70.0,68.0,66.0,76.0,53.0,60.0,67.0,58.0,25.0,31.0,33.0,35.0,32.0,"33,806","11,052",32.0,19.0,40,9.0,3536640.0
21,Eastern Europe & Central Asia,BIH,Bosnia and Herzegovina,90.0,89.0,92.0,94.0,95.0,94.0,95.0,95.0,95.0,96.0,94.0,95.0,93.0,93.0,86.0,94.0,90.0,90.0,91.0,92.0,86.0,78.0,94.0,63.0,80.0,,,,,,,,,,,,,"16,560","3,507",14.0,13.0,50,23.0,490980.0
22,Eastern & Southern Africa,BWA,Botswana,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,93.0,98.0,98.0,98.0,97.0,97.0,93.0,89.0,"15,275","2,292",31.0,19.0,43,6.0,710520.0
23,Latin America & Caribbean,BRA,Brazil,89.0,97.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,75.0,85.0,50.0,91.0,88.0,92.0,86.0,79.0,80.0,80.0,80.0,86.0,87.0,82.0,79.0,72.0,62.0,"1,796,187","209,288",22.0,16.0,49,13.0,46043360.0
24,East Asia & Pacific,BRN,Brunei Darussalam,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,97.0,97.0,96.0,95.0,95.0,96.0,98.0,95.0,99.0,97.0,96.0,"11,400",429,23.0,16.0,52,8.0,98670.0
25,Eastern Europe & Central Asia,BGR,Bulgaria,94.0,93.0,90.0,96.0,96.0,96.0,96.0,96.0,97.0,96.0,97.0,97.0,95.0,96.0,97.0,95.0,95.0,96.0,96.0,97.0,98.0,98.0,97.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,"52,395","7,085",14.0,9.0,49,28.0,991900.0
