,unicef_region,iso3,country,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,GDP, Total (in thousdands) ,Pop % under 14, 15-24 , 25-59 , 60+ ,Pop # under 14
70,West & Central Africa,GIN,Guinea,65.0,63.0,60.0,76.0,76.0,76.0,86.0,76.0,64.0,76.0,75.0,75.0,75.0,71.0,68.0,64.0,61.0,57.0,72.0,72.0,72.0,77.0,77.0,77.0,76.0,61.0,40.0,40.0,39.0,37.0,37.0,37.0,37.0,37.0,37.0,,,"6,299","12,717",42.0,20.0,33,5.0,5341140.0
71,West & Central Africa,GNB,Guinea-Bissau,95.0,95.0,95.0,95.0,95.0,95.0,94.0,92.0,91.0,89.0,88.0,86.0,84.0,81.0,79.0,76.0,73.0,69.0,76.0,83.0,77.0,70.0,90.0,89.0,86.0,84.0,82.0,86.0,95.0,87.0,88.0,57.0,57.0,45.0,,,,"1,126","1,861",41.0,20.0,34,5.0,763010.0
72,Latin America & Caribbean,GUY,Guyana,97.0,96.0,99.0,98.0,99.0,97.0,99.0,99.0,94.0,96.0,95.0,93.0,97.0,93.0,96.0,98.0,97.0,97.0,97.0,96.0,94.0,95.0,96.0,97.0,92.0,93.0,94.0,91.0,84.0,86.0,84.0,91.0,88.0,79.0,77.0,70.0,60.0,"3,446",778,29.0,21.0,42,9.0,225620.0
73,Latin America & Caribbean,HTI,Haiti,78.0,80.0,72.0,86.0,87.0,88.0,87.0,86.0,86.0,85.0,84.0,83.0,81.0,79.0,77.0,75.0,73.0,71.0,69.0,66.0,75.0,75.0,75.0,73.0,72.0,70.0,66.0,74.0,72.0,53.0,48.0,42.0,36.0,29.0,35.0,36.0,21.0,"8,023","10,981",33.0,20.0,40,7.0,3623730.0
74,Latin America & Caribbean,HND,Honduras,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,94.0,95.0,99.0,98.0,97.0,98.0,98.0,98.0,98.0,99.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,94.0,95.0,90.0,80.0,83.0,80.0,66.0,76.0,71.0,59.0,53.0,"21,517","9,265",32.0,21.0,41,7.0,2964800.0
75,Western Europe,HUN,Hungary,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,"124,343","9,722",14.0,11.0,49,26.0,1361080.0
76,Western Europe,ISL,Iceland,96.0,96.0,96.0,97.0,97.0,99.0,98.0,99.0,99.0,97.0,97.0,95.0,99.0,97.0,96.0,95.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,98.0,99.0,99.0,"20,047",335,20.0,14.0,46,20.0,67000.0
77,South Asia,IND,India,91.0,90.0,90.0,90.0,89.0,89.0,86.0,84.0,81.0,81.0,81.0,82.0,77.0,76.0,75.0,75.0,74.0,74.0,78.0,82.0,86.0,88.0,86.0,82.0,79.0,80.0,88.0,74.0,65.0,55.0,44.0,41.0,39.0,36.0,33.0,25.0,25.0,"2,263,523","1,339,180",28.0,18.0,45,9.0,374970400.0
78,East Asia & Pacific,IDN,Indonesia,95.0,95.0,95.0,96.0,97.0,98.0,97.0,94.0,92.0,87.0,86.0,85.0,84.0,84.0,83.0,82.0,84.0,86.0,88.0,90.0,89.0,87.0,87.0,86.0,84.0,83.0,82.0,80.0,77.0,74.0,72.0,52.0,35.0,25.0,18.0,18.0,,"932,259","263,991",27.0,17.0,47,9.0,71277570.0
79,Middle East & North Africa,IRN,Iran (Islamic Republic of),99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,99.0,99.0,99.0,96.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,98.0,96.0,97.0,94.0,96.0,80.0,80.0,75.0,58.0,58.0,66.0,54.0,57.0,"393,436","81,163",24.0,14.0,53,9.0,19479120.0
80,Middle East & North Africa,IRQ,Iraq,73.0,73.0,77.0,82.0,87.0,90.0,86.0,88.0,81.0,68.0,76.0,84.0,86.0,87.0,89.0,90.0,92.0,93.0,79.0,89.0,88.0,86.0,84.0,82.0,86.0,90.0,93.0,97.0,98.0,98.0,98.0,98.0,81.0,39.0,41.0,35.0,36.0,"171,489","38,275",40.0,20.0,35,5.0,15310000.0
81,Western Europe,IRL,Ireland,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,96.0,96.0,95.0,94.0,94.0,95.0,95.0,94.0,90.0,90.0,90.0,88.0,88.0,87.0,86.0,85.0,85.0,68.0,69.0,69.0,70.0,70.0,67.0,68.0,61.0,59.0,"294,054","4,762",22.0,11.0,48,19.0,1047640.0
82,Middle East & North Africa,ISR,Israel,94.0,95.0,95.0,96.0,94.0,94.0,95.0,96.0,94.0,95.0,95.0,93.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,97.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,97.0,97.0,95.0,95.0,96.0,97.0,97.0,94.0,"318,744","8,322",28.0,15.0,41,16.0,2330160.0
83,Western Europe,ITA,Italy,97.0,97.0,98.0,98.0,99.0,98.0,98.0,98.0,98.0,99.0,98.0,98.0,98.0,98.0,97.0,97.0,95.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,94.0,,,,,,,,,,,"1,849,970","59,360",14.0,10.0,48,29.0,8310400.0
84,Latin America & Caribbean,JAM,Jamaica,99.0,97.0,97.0,97.0,98.0,94.0,98.0,91.0,97.0,97.0,96.0,99.0,99.0,98.0,99.0,99.0,97.0,96.0,92.0,96.0,97.0,96.0,97.0,97.0,95.0,95.0,95.0,95.0,94.0,93.0,90.0,82.0,80.0,75.0,59.0,64.0,48.0,"14,027","2,890",23.0,18.0,45,14.0,664700.0
85,East Asia & Pacific,JPN,Japan,99.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,88.0,88.0,88.0,88.0,99.0,90.0,93.0,95.0,95.0,97.0,96.0,95.0,95.0,95.0,94.0,94.0,94.0,93.0,93.0,91.0,82.0,"4,939,384","127,484",13.0,9.0,44,33.0,16572920.0
86,Middle East & North Africa,JOR,Jordan,99.0,99.0,98.0,99.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,98.0,96.0,98.0,96.0,99.0,91.0,86.0,99.0,99.0,99.0,99.0,95.0,93.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0,95.0,93.0,91.0,91.0,93.0,55.0,"38,655","9,702",36.0,19.0,40,6.0,3492720.0
87,Eastern Europe & Central Asia,KAZ,Kazakhstan,93.0,99.0,96.0,99.0,99.0,99.0,99.0,98.0,99.0,97.0,99.0,99.0,85.0,99.0,96.0,96.0,98.0,98.0,99.0,98.0,98.0,97.0,91.0,91.0,93.0,,,,,,,,,,,,,"133,657","18,204",28.0,13.0,48,11.0,5097120.0
88,Eastern & Southern Africa,KEN,Kenya,96.0,96.0,97.0,95.0,98.0,98.0,93.0,92.0,90.0,89.0,90.0,85.0,87.0,89.0,90.0,84.0,83.0,89.0,93.0,96.0,96.0,96.0,96.0,96.0,96.0,92.0,92.0,92.0,92.0,91.0,89.0,88.0,80.0,,,,,"70,529","49,700",40.0,20.0,35,4.0,19880000.0
89,East Asia & Pacific,KIR,Kiribati,82.0,81.0,83.0,95.0,94.0,99.0,97.0,90.0,97.0,99.0,98.0,93.0,75.0,78.0,82.0,85.0,95.0,96.0,96.0,97.0,92.0,82.0,88.0,99.0,95.0,88.0,98.0,92.0,84.0,61.0,62.0,62.0,41.0,65.0,77.0,54.0,68.0,166,116,35.0,19.0,40,6.0,40600.0
90,Middle East & North Africa,KWT,Kuwait,99.0,99.0,97.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,98.0,98.0,99.0,99.0,99.0,98.0,96.0,93.0,88.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,94.0,92.0,86.0,"114,041","4,137",21.0,12.0,62,5.0,868770.0
91,Eastern Europe & Central Asia,KGZ,Kyrgyzstan,97.0,99.0,96.0,98.0,96.0,97.0,99.0,98.0,99.0,98.0,96.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,97.0,94.0,84.0,94.0,,,,,,,,,,,,,"6,551","6,045",32.0,17.0,44,8.0,1934400.0
92,East Asia & Pacific,LAO,Lao People’s Democratic Republic,85.0,93.0,94.0,89.0,87.0,83.0,81.0,76.0,73.0,59.0,68.0,68.0,66.0,72.0,64.0,59.0,83.0,83.0,82.0,82.0,80.0,77.0,72.0,50.0,47.0,46.0,41.0,45.0,40.0,31.0,24.0,22.0,24.0,27.0,27.0,27.0,,"15,903","6,858",33.0,21.0,40,6.0,2263140.0
93,Western Europe,LVA,Latvia,99.0,98.0,93.0,96.0,92.0,95.0,99.0,98.0,94.0,98.0,98.0,99.0,99.0,98.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,97.0,95.0,,,,,,,,,,,,,"27,677","1,950",15.0,10.0,49,26.0,292500.0
94,Middle East & North Africa,LBN,Lebanon,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,83.0,83.0,83.0,85.0,88.0,90.0,92.0,95.0,97.0,97.0,97.0,97.0,97.0,96.0,95.0,94.0,92.0,84.0,71.0,55.0,40.0,22.0,22.0,22.0,20.0,17.0,"47,537","6,082",23.0,19.0,46,12.0,1398860.0
95,Eastern & Southern Africa,LSO,Lesotho,98.0,98.0,98.0,98.0,98.0,97.0,97.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,89.0,83.0,87.0,90.0,92.0,93.0,94.0,95.0,94.0,94.0,93.0,92.0,91.0,91.0,90.0,89.0,91.0,92.0,88.0,83.0,79.0,75.0,75.0,"2,200","2,233",35.0,22.0,36,7.0,781550.0
96,West & Central Africa,LBR,Liberia,99.0,77.0,74.0,97.0,92.0,86.0,80.0,90.0,85.0,80.0,75.0,75.0,65.0,69.0,73.0,76.0,80.0,84.0,,,,,,,,,,,,,,,,,,,,"2,101","4,732",42.0,20.0,34,5.0,1987440.0
97,Middle East & North Africa,LBY,Libya,98.0,98.0,96.0,98.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,97.0,96.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,96.0,95.0,94.0,95.0,94.0,94.0,94.0,93.0,93.0,92.0,89.0,86.0,82.0, .. ,"6,375",28.0,17.0,48,7.0,1785000.0
98,Western Europe,LTU,Lithuania,97.0,97.0,97.0,97.0,97.0,95.0,98.0,98.0,96.0,99.0,98.0,98.0,94.0,98.0,98.0,98.0,99.0,98.0,97.0,96.0,97.0,96.0,94.0,94.0,92.0,,,,,,,,,,,,,"42,739","2,890",15.0,12.0,48,25.0,433500.0
99,Western Europe,LUX,Luxembourg,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,96.0,96.0,96.0,98.0,95.0,91.0,87.0,91.0,,,,"59,948",583,16.0,12.0,52,20.0,93280.0
100,Eastern & Southern Africa,MDG,Madagascar,84.0,79.0,83.0,80.0,80.0,80.0,78.0,80.0,84.0,92.0,93.0,88.0,82.0,79.0,76.0,75.0,74.0,73.0,73.0,73.0,73.0,80.0,86.0,86.0,85.0,77.0,71.0,70.0,67.0,60.0,55.0,47.0,42.0,47.0,37.0,,,"9,991","25,571",41.0,21.0,34,5.0,10484110.0
101,Eastern & Southern Africa,MWI,Malawi,89.0,93.0,97.0,96.0,99.0,98.0,97.0,97.0,97.0,96.0,99.0,99.0,99.0,99.0,94.0,99.0,98.0,98.0,98.0,98.0,96.0,96.0,94.0,97.0,95.0,95.0,95.0,95.0,94.0,92.0,80.0,78.0,80.0,84.0,84.0,86.0,80.0,"5,442","18,622",44.0,21.0,31,4.0,8193680.0
102,East Asia & Pacific,MYS,Malaysia,99.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,98.0,98.0,98.0,95.0,91.0,92.0,93.0,95.0,92.0,76.0,78.0,73.0,68.0,67.0,71.0,90.0,86.0,86.0,"296,359","31,624",24.0,19.0,47,10.0,7589760.0
103,South Asia,MDV,Maldives,99.0,99.0,99.0,99.0,99.0,97.0,97.0,99.0,99.0,99.0,98.0,99.0,98.0,98.0,98.0,99.0,98.0,99.0,98.0,98.0,98.0,99.0,98.0,93.0,99.0,98.0,97.0,97.0,95.0,67.0,67.0,53.0,48.0,35.0,18.0,18.0,22.0,"3,591",436,23.0,16.0,54,6.0,100280.0
104,West & Central Africa,MLI,Mali,86.0,82.0,92.0,85.0,81.0,80.0,81.0,82.0,85.0,86.0,86.0,87.0,86.0,85.0,82.0,76.0,61.0,67.0,73.0,79.0,77.0,73.0,64.0,71.0,63.0,59.0,67.0,51.0,41.0,28.0,28.0,28.0,,,,,,"14,045","18,542",48.0,19.0,29,4.0,8900160.0
105,Western Europe,MLT,Malta,97.0,98.0,99.0,99.0,99.0,99.0,97.0,91.0,88.0,84.0,85.0,94.0,92.0,96.0,95.0,98.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,94.0,94.0,95.0,84.0,72.0,95.0,95.0,95.0,62.0,74.0,,,,,"10,949",431,14.0,12.0,48,26.0,60340.0
106,East Asia & Pacific,MHL,Marshall Islands,87.0,95.0,97.0,97.0,97.0,99.0,99.0,99.0,99.0,99.0,90.0,89.0,71.0,90.0,90.0,99.0,64.0,85.0,95.0,92.0,92.0,88.0,86.0,79.0,94.0,88.0,97.0,97.0,97.0,,,,,,,,,183,53,,,,,
107,West & Central Africa,MRT,Mauritania,87.0,87.0,88.0,95.0,95.0,91.0,82.0,79.0,88.0,92.0,85.0,85.0,83.0,91.0,96.0,76.0,73.0,70.0,56.0,69.0,89.0,93.0,88.0,82.0,76.0,65.0,69.0,63.0,62.0,55.0,57.0,52.0,45.0,44.0,44.0,41.0,,"4,635","4,420",40.0,19.0,36,5.0,1768000.0
108,Eastern & Southern Africa,MUS,Mauritius,97.0,98.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,99.0,99.0,98.0,99.0,96.0,92.0,88.0,91.0,93.0,96.0,96.0,97.0,96.0,96.0,96.0,97.0,95.0,95.0,95.0,94.0,95.0,96.0,95.0,96.0,97.0,94.0,96.0,"12,164","1,265",18.0,15.0,50,17.0,227700.0
109,Latin America & Caribbean,MEX,Mexico,99.0,99.0,95.0,90.0,99.0,99.0,96.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,97.0,97.0,94.0,96.0,96.0,77.0,85.0,82.0,83.0,75.0,65.0,76.0,66.0,65.0,68.0,69.0,"1,045,998","129,163",27.0,18.0,45,10.0,34874010.0
110,East Asia & Pacific,FSM,Micronesia (Federated States of ),95.0,95.0,97.0,98.0,97.0,96.0,90.0,97.0,87.0,86.0,83.0,98.0,81.0,97.0,87.0,90.0,92.0,92.0,91.0,91.0,92.0,94.0,93.0,92.0,97.0,92.0,95.0,98.0,95.0,80.0,,,,,,,,322,106,33.0,23.0,36,8.0,34980.0
111,Western Europe,MCO,Monaco,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,99.0,99.0,,,,,,,,, .. ,39,,,,,
112,East Asia & Pacific,MNG,Mongolia,99.0,99.0,99.0,98.0,99.0,99.0,98.0,95.0,98.0,95.0,99.0,99.0,99.0,98.0,99.0,95.0,95.0,95.0,96.0,97.0,96.0,96.0,92.0,93.0,93.0,93.0,94.0,94.0,94.0,93.0,93.0,93.0,91.0,92.0,92.0,92.0,91.0,"11,160","3,076",30.0,15.0,49,7.0,922800.0
113,Eastern Europe & Central Asia,MNE,Montenegro,97.0,96.0,97.0,98.0,98.0,98.0,97.0,96.0,98.0,98.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,173",629,18.0,13.0,47,21.0,113220.0
114,Middle East & North Africa,MAR,Morocco,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,94.0,98.0,97.0,98.0,93.0,99.0,99.0,91.0,94.0,92.0,90.0,95.0,93.0,93.0,93.0,94.0,95.0,84.0,75.0,70.0,66.0,57.0,,,"101,445","35,740",27.0,17.0,45,11.0,9649800.0
115,Eastern & Southern Africa,MOZ,Mozambique,90.0,90.0,92.0,93.0,91.0,91.0,91.0,89.0,87.0,85.0,86.0,87.0,88.0,89.0,88.0,86.0,84.0,82.0,80.0,78.0,76.0,75.0,74.0,73.0,74.0,71.0,71.0,72.0,63.0,64.0,57.0,54.0,57.0,63.0,68.0,79.0,,"11,015","29,669",45.0,20.0,30,5.0,13351050.0
116,East Asia & Pacific,MMR,Myanmar,94.0,94.0,92.0,90.0,89.0,88.0,93.0,93.0,88.0,89.0,86.0,76.0,86.0,80.0,81.0,81.0,87.0,87.0,92.0,96.0,96.0,94.0,91.0,96.0,95.0,94.0,96.0,74.0,53.0,47.0,44.0,39.0,33.0,32.0,29.0,24.0,22.0,"67,430","53,371",27.0,18.0,46,9.0,14410170.0
117,Eastern & Southern Africa,NAM,Namibia,98.0,98.0,92.0,94.0,89.0,88.0,87.0,87.0,88.0,88.0,91.0,93.0,88.0,87.0,86.0,88.0,90.0,90.0,88.0,86.0,88.0,90.0,92.0,90.0,88.0,87.0,,,,,,,,,,,,"10,267","2,534",37.0,21.0,37,5.0,937580.0
118,East Asia & Pacific,NRU,Nauru,98.0,98.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,98.0,90.0,93.0,97.0,99.0,98.0,85.0,81.0,78.0,74.0,77.0,79.0,82.0,84.0,86.0,88.0,90.0,91.0,86.0,78.0,82.0,86.0,86.0,,,,,102,11,,,,,
119,South Asia,NPL,Nepal,92.0,94.0,94.0,94.0,90.0,96.0,85.0,94.0,84.0,85.0,93.0,81.0,88.0,82.0,84.0,84.0,84.0,91.0,92.0,92.0,85.0,77.0,77.0,75.0,73.0,71.0,68.0,69.0,70.0,71.0,63.0,57.0,52.0,47.0,41.0,39.0,28.0,"21,144","29,305",31.0,21.0,39,9.0,9084550.0
120,Western Europe,NLD,Netherlands,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,"770,845","17,036",16.0,12.0,46,25.0,2725760.0
121,East Asia & Pacific,NZL,New Zealand,92.0,93.0,93.0,93.0,94.0,95.0,95.0,94.0,91.0,91.0,92.0,92.0,91.0,91.0,90.0,96.0,96.0,91.0,93.0,95.0,96.0,96.0,94.0,94.0,93.0,93.0,96.0,93.0,87.0,86.0,88.0,89.0,94.0,90.0,90.0,89.0,91.0,"185,017","4,706",20.0,14.0,46,21.0,941200.0
122,Latin America & Caribbean,NIC,Nicaragua,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,94.0,94.0,92.0,80.0,86.0,88.0,92.0,97.0,96.0,94.0,93.0,93.0,93.0,93.0,93.0,93.0,91.0,88.0,87.0,72.0,75.0,70.0,64.0,58.0,48.0,52.0,47.0,39.0,"13,231","6,218",29.0,19.0,44,8.0,1803220.0
123,West & Central Africa,NER,Niger,87.0,85.0,89.0,87.0,87.0,86.0,83.0,81.0,76.0,68.0,63.0,58.0,56.0,53.0,51.0,48.0,46.0,43.0,44.0,45.0,44.0,42.0,41.0,39.0,38.0,36.0,46.0,35.0,29.0,27.0,24.0,22.0,24.0,24.0,25.0,25.0,,"7,509","21,477",50.0,19.0,27,4.0,10738500.0
124,West & Central Africa,NGA,Nigeria,64.0,64.0,64.0,58.0,51.0,56.0,60.0,73.0,63.0,52.0,49.0,48.0,46.0,45.0,43.0,42.0,42.0,41.0,48.0,70.0,51.0,59.0,69.0,54.0,68.0,64.0,79.0,72.0,61.0,54.0,46.0,39.0,29.0,,,,,"405,083","190,886",44.0,19.0,32,4.0,83989840.0
125,East Asia & Pacific,NIU,Niue,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,94.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,93.0,83.0,68.0,56.0,44.0,28.0,27.0,,2,,,,,
126,Western Europe,NOR,Norway,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,97.0,97.0,98.0,98.0,95.0,94.0,94.0,93.0,94.0,95.0,96.0,96.0,,,,"370,557","5,305",18.0,13.0,47,22.0,954900.0
127,Middle East & North Africa,OMN,Oman,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,98.0,98.0,98.0,96.0,96.0,94.0,82.0,70.0,56.0,48.0,42.0,41.0,"66,293","4,636",22.0,15.0,60,4.0,1019920.0
128,South Asia,PAK,Pakistan,79.0,79.0,79.0,79.0,79.0,84.0,88.0,88.0,84.0,89.0,89.0,81.0,75.0,77.0,77.0,75.0,72.0,70.0,67.0,65.0,62.0,73.0,64.0,62.0,67.0,74.0,77.0,65.0,63.0,61.0,59.0,55.0,47.0,37.0,24.0,21.0,20.0,"283,660","197,016",35.0,19.0,39,7.0,68955600.0
129,East Asia & Pacific,PLW,Palau,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,99.0,99.0,98.0,98.0,96.0,96.0,97.0,98.0,99.0,86.0,96.0,97.0,98.0,99.0,92.0,99.0,93.0,98.0,,,,,,,293,22,,,,,
130,Latin America & Caribbean,PAN,Panama,96.0,96.0,96.0,93.0,99.0,98.0,96.0,95.0,93.0,97.0,96.0,95.0,98.0,99.0,99.0,99.0,99.0,96.0,99.0,98.0,97.0,95.0,94.0,94.0,91.0,94.0,95.0,88.0,91.0,89.0,88.0,90.0,81.0,82.0,82.0,92.0,72.0,"55,188","4,099",27.0,17.0,45,11.0,1106730.0
131,East Asia & Pacific,PNG,Papua New Guinea,87.0,83.0,87.0,88.0,85.0,83.0,80.0,80.0,70.0,76.0,85.0,80.0,81.0,88.0,81.0,77.0,84.0,82.0,85.0,87.0,80.0,97.0,91.0,93.0,82.0,93.0,97.0,77.0,72.0,69.0,69.0,65.0,59.0,52.0,54.0,57.0,57.0,"16,929","8,251",36.0,20.0,38,6.0,2970360.0
132,Latin America & Caribbean,PRY,Paraguay,99.0,99.0,98.0,93.0,96.0,96.0,96.0,94.0,96.0,99.0,99.0,97.0,94.0,95.0,95.0,96.0,95.0,85.0,88.0,91.0,89.0,87.0,88.0,86.0,90.0,86.0,86.0,82.0,79.0,80.0,77.0,80.0,86.0,70.0,59.0,53.0,40.0,"27,441","6,811",29.0,20.0,42,9.0,1975190.0
133,Latin America & Caribbean,PER,Peru,94.0,97.0,98.0,97.0,99.0,94.0,97.0,97.0,97.0,93.0,96.0,94.0,93.0,98.0,98.0,91.0,99.0,99.0,94.0,96.0,97.0,96.0,95.0,95.0,94.0,88.0,89.0,80.0,82.0,68.0,74.0,72.0,53.0,47.0,47.0,44.0,39.0,"192,094","32,165",27.0,17.0,45,10.0,8684550.0
134,East Asia & Pacific,PHL,Philippines,87.0,69.0,78.0,93.0,91.0,92.0,81.0,89.0,94.0,90.0,90.0,91.0,92.0,86.0,84.0,92.0,92.0,91.0,91.0,90.0,82.0,76.0,81.0,86.0,91.0,96.0,96.0,95.0,92.0,90.0,86.0,81.0,80.0,78.0,77.0,77.0,72.0,"304,905","104,918",32.0,19.0,41,8.0,33573760.0
135,Western Europe,POL,Poland,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,98.0,98.0,98.0,98.0,98.0,"469,509","38,171",15.0,11.0,50,24.0,5725650.0
136,Western Europe,PRT,Portugal,99.0,99.0,99.0,99.0,99.0,97.0,99.0,97.0,99.0,99.0,99.0,94.0,98.0,99.0,98.0,99.0,99.0,98.0,98.0,97.0,98.0,97.0,98.0,97.0,97.0,98.0,96.0,96.0,93.0,94.0,93.0,89.0,92.0,92.0,92.0,91.0,90.0,"204,565","10,330",14.0,10.0,48,28.0,1446200.0
137,Middle East & North Africa,QAT,Qatar,99.0,99.0,99.0,99.0,95.0,94.0,98.0,99.0,97.0,96.0,99.0,99.0,99.0,96.0,96.0,95.0,92.0,94.0,95.0,97.0,97.0,97.0,97.0,96.0,96.0,95.0,94.0,93.0,87.0,89.0,89.0,88.0,82.0,73.0,62.0,68.0,82.0,"152,469","2,639",14.0,15.0,68,3.0,369460.0
138,East Asia & Pacific,KOR,Republic of Korea,98.0,99.0,99.0,99.0,99.0,99.0,96.0,96.0,95.0,95.0,98.0,98.0,95.0,97.0,97.0,97.0,97.0,96.0,94.0,93.0,96.0,99.0,97.0,96.0,94.0,92.0,90.0,96.0,80.0,80.0,91.0,91.0,91.0,87.0,82.0,82.0,,"1,411,246","50,982",13.0,13.0,54,20.0,6627660.0
139,Eastern Europe & Central Asia,MDA,Republic of Moldova,94.0,88.0,94.0,96.0,97.0,96.0,93.0,88.0,96.0,95.0,97.0,98.0,99.0,99.0,99.0,97.0,98.0,99.0,99.0,98.0,98.0,98.0,95.0,88.0,94.0,,,,,,,,,,,,,"6,750","4,051",16.0,13.0,54,18.0,648160.0
140,Eastern Europe & Central Asia,ROU,Romania,96.0,96.0,98.0,97.0,97.0,96.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,97.0,98.0,98.0,98.0,98.0,98.0,97.0,96.0,98.0,,,,,,"186,691","19,679",15.0,11.0,49,25.0,2951850.0
141,Eastern Europe & Central Asia,RUS,Russian Federation,97.0,97.0,97.0,97.0,97.0,97.0,97.0,99.0,99.0,99.0,99.0,99.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0,94.0,92.0,96.0,92.0,89.0,,,,,,,,,,,,,"1,283,162","143,990",18.0,10.0,52,21.0,25918200.0
142,Eastern & Southern Africa,RWA,Rwanda,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,97.0,99.0,99.0,95.0,94.0,97.0,95.0,94.0,93.0,93.0,92.0,90.0,96.0,94.0,47.0,94.0,95.0,97.0,94.0,94.0,93.0,96.0,95.0,74.0,78.0,81.0,63.0,40.0,,"8,376","12,208",40.0,19.0,36,5.0,4883200.0
