,unicef_region,iso3,country,GDP,2016,1996,1986,Pop % under 14,Pop # under 14
58,Eastern & Southern Africa,ETH,Ethiopia,"72,374",86.0,78.0,27.0,41.0,43032370.0
59,East Asia & Pacific,FJI,Fiji,"4,632",99.0,98.0,88.0,28.0,253680.0
60,Western Europe,FIN,Finland,"236,785",99.0,99.0,98.0,16.0,883680.0
61,Western Europe,FRA,France,"2,465,454",99.0,98.0,98.0,18.0,11696400.0
62,West & Central Africa,GAB,Gabon,"14,214",83.0,78.0,66.0,36.0,729000.0
63,West & Central Africa,GMB,Gambia,965,99.0,99.0,93.0,45.0,945450.0
64,Eastern Europe & Central Asia,GEO,Georgia,"14,333",97.0,90.0,,19.0,743280.0
65,Western Europe,DEU,Germany,"3,466,757",95.0,94.0,96.0,13.0,10674820.0
66,West & Central Africa,GHA,Ghana,"42,690",94.0,88.0,60.0,39.0,11245260.0
67,Western Europe,GRC,Greece,"194,559",99.0,96.0,93.0,14.0,1562400.0
68,Latin America & Caribbean,GRD,Grenada,"1,016",98.0,93.0,98.0,26.0,28080.0
69,Latin America & Caribbean,GTM,Guatemala,"68,763",96.0,86.0,62.0,35.0,5919900.0
70,West & Central Africa,GIN,Guinea,"6,299",65.0,72.0,37.0,42.0,5341140.0
71,West & Central Africa,GNB,Guinea-Bissau,"1,126",95.0,77.0,88.0,41.0,763010.0
72,Latin America & Caribbean,GUY,Guyana,"3,446",97.0,94.0,84.0,29.0,225620.0
73,Latin America & Caribbean,HTI,Haiti,"8,023",78.0,75.0,48.0,33.0,3623730.0
74,Latin America & Caribbean,HND,Honduras,"21,517",99.0,97.0,83.0,32.0,2964800.0
75,Western Europe,HUN,Hungary,"124,343",99.0,99.0,99.0,14.0,1361080.0
76,Western Europe,ISL,Iceland,"20,047",96.0,99.0,99.0,20.0,67000.0
77,South Asia,IND,India,"2,263,523",91.0,86.0,44.0,28.0,374970400.0
78,East Asia & Pacific,IDN,Indonesia,"932,259",95.0,89.0,72.0,27.0,71277570.0
79,Middle East & North Africa,IRN,Iran (Islamic Republic of),"393,436",99.0,99.0,80.0,24.0,19479120.0
80,Middle East & North Africa,IRQ,Iraq,"171,489",73.0,88.0,98.0,40.0,15310000.0
81,Western Europe,IRL,Ireland,"294,054",98.0,90.0,69.0,22.0,1047640.0
82,Middle East & North Africa,ISR,Israel,"318,744",94.0,97.0,97.0,28.0,2330160.0
83,Western Europe,ITA,Italy,"1,849,970",97.0,98.0,,14.0,8310400.0
84,Latin America & Caribbean,JAM,Jamaica,"14,027",99.0,97.0,90.0,23.0,664700.0
85,East Asia & Pacific,JPN,Japan,"4,939,384",99.0,99.0,94.0,13.0,16572920.0
86,Middle East & North Africa,JOR,Jordan,"38,655",99.0,99.0,96.0,36.0,3492720.0
87,Eastern Europe & Central Asia,KAZ,Kazakhstan,"133,657",93.0,98.0,,28.0,5097120.0
88,Eastern & Southern Africa,KEN,Kenya,"70,529",96.0,96.0,89.0,40.0,19880000.0
89,East Asia & Pacific,KIR,Kiribati,166,82.0,92.0,62.0,35.0,40600.0
90,Middle East & North Africa,KWT,Kuwait,"114,041",99.0,99.0,97.0,21.0,868770.0
91,Eastern Europe & Central Asia,KGZ,Kyrgyzstan,"6,551",97.0,98.0,,32.0,1934400.0
92,East Asia & Pacific,LAO,Lao People’s Democratic Republic,"15,903",85.0,80.0,24.0,33.0,2263140.0
93,Western Europe,LVA,Latvia,"27,677",99.0,99.0,,15.0,292500.0
94,Middle East & North Africa,LBN,Lebanon,"47,537",84.0,97.0,55.0,23.0,1398860.0
95,Eastern & Southern Africa,LSO,Lesotho,"2,200",98.0,94.0,91.0,35.0,781550.0
96,West & Central Africa,LBR,Liberia,"2,101",99.0,,,42.0,1987440.0
