,ISO_A3,ADM0_DIF,LEVEL,ADM0_A3,ADM0_A3_IS,GU_A3,ISO_N3,TYPE,GEOUNIT,ABBREV,NAME,NAME_LONG,ISOA3_GUA3
213,-99,0.0,3.0,PNG,PNG,PNX,-99,Geo unit,Papua New Guinea,P.N.G.,Papua New Guinea,Papua New Guinea,PNG
214,POL,0.0,2.0,POL,POL,POL,616,Sovereign country,Poland,Pol.,Poland,Poland,POL
215,PRI,1.0,2.0,PRI,PRI,PRI,630,Dependency,Puerto Rico,P.R.,Puerto Rico,Puerto Rico,PRI
216,PRK,0.0,2.0,PRK,PRK,PRK,408,Sovereign country,North Korea,N.K.,Dem. Rep. Korea,Dem. Rep. Korea,PRK
217,-99,0.0,3.0,PRT,PRT,PRX,-99,Geo unit,Portugal,Port.,Portugal,Portugal,PRT
218,PRY,0.0,2.0,PRY,PRY,PRY,600,Sovereign country,Paraguay,Para.,Paraguay,Paraguay,PRY
219,PYF,1.0,2.0,PYF,PYF,PYF,258,Dependency,French Polynesia,Fr. Poly.,Fr. Polynesia,French Polynesia,PYF
220,QAT,0.0,2.0,QAT,QAT,QAT,634,Sovereign country,Qatar,Qatar,Qatar,Qatar,QAT
221,REU,1.0,3.0,FRA,REU,REU,638,Geo unit,Reunion,Reu.,Reunion,Reunion,REU
222,ROU,0.0,2.0,ROU,ROU,ROU,642,Sovereign country,Romania,Rom.,Romania,Romania,ROU
223,RUS,0.0,2.0,RUS,RUS,RUS,643,Sovereign country,Russia,Rus.,Russia,Russian Federation,RUS
224,RWA,0.0,2.0,RWA,RWA,RWA,646,Sovereign country,Rwanda,Rwa.,Rwanda,Rwanda,RWA
225,ESH,0.0,2.0,SAH,MAR,SAH,732,Indeterminate,Western Sahara,W. Sah.,W. Sahara,Western Sahara,ESH
226,SAU,0.0,2.0,SAU,SAU,SAU,682,Sovereign country,Saudi Arabia,Saud.,Saudi Arabia,Saudi Arabia,SAU
227,-99,0.0,2.0,SCR,-99,SCR,-99,Indeterminate,Scarborough Reef,S.R.,Scarborough Reef,Scarborough Reef,None
228,-99,1.0,3.0,GBR,-99,SCT,-99,Geo unit,Scotland,Scot.,Scotland,Scotland,GBR
229,SDN,0.0,2.0,SDN,SDN,SDN,729,Sovereign country,Sudan,Sudan,Sudan,Sudan,SDN
230,SSD,0.0,2.0,SDS,SSD,SDS,728,Sovereign country,South Sudan,S. Sud.,S. Sudan,South Sudan,SSD
231,SEN,0.0,2.0,SEN,SEN,SEN,686,Sovereign country,Senegal,Sen.,Senegal,Senegal,SEN
232,-99,0.0,2.0,SER,-99,SER,-99,Indeterminate,Serranilla Bank,S.B.,Serranilla Bank,Serranilla Bank,None
233,SGP,0.0,2.0,SGP,SGP,SGP,702,Sovereign country,Singapore,Sing.,Singapore,Singapore,SGP
234,SGS,1.0,2.0,SGS,SGS,SGS,239,Dependency,South Georgia and South Sandwich Islands,S.G. S.S. Is.,S. Geo. and S. Sandw. Is.,South Georgia and South Sandwich Islands,SGS
235,SHN,1.0,2.0,SHN,SHN,SHN,654,Dependency,Saint Helena,St.H.,Saint Helena,Saint Helena,SHN
236,SLB,0.0,2.0,SLB,SLB,SLB,90,Sovereign country,Solomon Islands,S. Is.,Solomon Is.,Solomon Islands,SLB
237,SLE,0.0,2.0,SLE,SLE,SLE,694,Sovereign country,Sierra Leone,S.L.,Sierra Leone,Sierra Leone,SLE
238,SLV,0.0,2.0,SLV,SLV,SLV,222,Sovereign country,El Salvador,El. S.,El Salvador,El Salvador,SLV
239,SMR,0.0,2.0,SMR,SMR,SMR,674,Sovereign country,San Marino,S.M.,San Marino,San Marino,SMR
240,-99,0.0,2.0,SOL,SOM,SOL,-99,Indeterminate,Somaliland,Solnd.,Somaliland,Somaliland,SOM
241,-99,0.0,3.0,SOM,SOM,SOP,-99,Geo unit,Puntland,Punt.,Puntland,Puntland,SOM
242,-99,0.0,3.0,SOM,SOM,SOX,-99,Geo unit,Somalia,Som.,Somalia,Somalia,SOM
243,SPM,1.0,2.0,SPM,SPM,SPM,666,Dependency,Saint Pierre and Miquelon,St. P.M.,St. Pierre and Miquelon,Saint Pierre and Miquelon,SPM
244,-99,0.0,3.0,SRB,SRB,SRS,-99,Geo unit,Serbia,Serb.,Serbia,Serbia,SRB
245,-99,0.0,3.0,SRB,SRB,SRV,-99,Geo unit,Vojvodina,Vojv.,Vojvodina,Vojvodina,SRB
246,STP,0.0,2.0,STP,STP,STP,678,Sovereign country,Sao Tome and Principe,S.T.P.,São Tomé and Principe,São Tomé and Principe,STP
247,SUR,0.0,2.0,SUR,SUR,SUR,740,Sovereign country,Suriname,Sur.,Suriname,Suriname,SUR
248,SVK,0.0,2.0,SVK,SVK,SVK,703,Sovereign country,Slovakia,Svk.,Slovakia,Slovakia,SVK
249,SVN,0.0,2.0,SVN,SVN,SVN,705,Sovereign country,Slovenia,Slo.,Slovenia,Slovenia,SVN
250,SWE,0.0,2.0,SWE,SWE,SWE,752,Sovereign country,Sweden,Swe.,Sweden,Sweden,SWE
251,SWZ,0.0,2.0,SWZ,SWZ,SWZ,748,Sovereign country,Swaziland,Swz.,Swaziland,Swaziland,SWZ
252,SXM,1.0,2.0,SXM,SXM,SXM,534,Country,Sint Maarten,St. M.,Sint Maarten,Sint Maarten,SXM
253,SYC,0.0,2.0,SYC,SYC,SYC,690,Sovereign country,Seychelles,Syc.,Seychelles,Seychelles,SYC
254,-99,0.0,3.0,SYR,SYR,SYU,-99,Overlay,UNDOF,DOF,UNDOF Zone,UNDOF Zone,SYR
255,SYR,0.0,3.0,SYR,SYR,SYX,760,Geo unit,Syria,Syria,Syria,Syrian Arab Republic,SYR
256,TCA,1.0,2.0,TCA,TCA,TCA,796,Dependency,Turks and Caicos Islands,T.C. Is.,Turks and Caicos Is.,Turks and Caicos Islands,TCA
257,TCD,0.0,2.0,TCD,TCD,TCD,148,Sovereign country,Chad,Chad,Chad,Chad,TCD
258,TGO,0.0,2.0,TGO,TGO,TGO,768,Sovereign country,Togo,Togo,Togo,Togo,TGO
259,THA,0.0,2.0,THA,THA,THA,764,Sovereign country,Thailand,Thai.,Thailand,Thailand,THA
260,TJK,0.0,2.0,TJK,TJK,TJK,762,Sovereign country,Tajikistan,Tjk.,Tajikistan,Tajikistan,TJK
261,TKL,1.0,3.0,NZL,TKL,TKL,772,Geo unit,Tokelau,Tkl.,Tokelau,Tokelau,TKL
262,TKM,0.0,2.0,TKM,TKM,TKM,795,Sovereign country,Turkmenistan,Turkm.,Turkmenistan,Turkmenistan,TKM
263,TLS,0.0,2.0,TLS,TLS,TLS,626,Sovereign country,East Timor,T.L.,Timor-Leste,Timor-Leste,TLS
264,TON,0.0,2.0,TON,TON,TON,776,Sovereign country,Tonga,Tongo,Tonga,Tonga,TON
265,TTO,0.0,2.0,TTO,TTO,TTO,780,Sovereign country,Trinidad and Tobago,Tr.T.,Trinidad and Tobago,Trinidad and Tobago,TTO
266,TUN,0.0,2.0,TUN,TUN,TUN,788,Sovereign country,Tunisia,Tun.,Tunisia,Tunisia,TUN
267,TUR,0.0,2.0,TUR,TUR,TUR,792,Sovereign country,Turkey,Tur.,Turkey,Turkey,TUR
268,TUV,0.0,2.0,TUV,TUV,TUV,798,Sovereign country,Tuvalu,Tuv.,Tuvalu,Tuvalu,TUV
269,TWN,0.0,2.0,TWN,TWN,TWN,158,Sovereign country,Taiwan,Taiwan,Taiwan,Taiwan,TWN
270,TZA,0.0,2.0,TZA,TZA,TZA,834,Sovereign country,Tanzania,Tanz.,Tanzania,Tanzania,TZA
271,-99,0.0,3.0,TZA,TZA,TZZ,-99,Geo unit,Zanzibar,Zan.,Zanzibar,Zanzibar,TZA
272,UGA,0.0,2.0,UGA,UGA,UGA,800,Sovereign country,Uganda,Uga.,Uganda,Uganda,UGA
273,UKR,0.0,2.0,UKR,UKR,UKR,804,Sovereign country,Ukraine,Ukr.,Ukraine,Ukraine,UKR
274,URY,0.0,2.0,URY,URY,URY,858,Sovereign country,Uruguay,Ury.,Uruguay,Uruguay,URY
275,USA,1.0,2.0,USA,USA,USA,840,Country,United States of America,U.S.A.,United States,United States,USA
276,-99,1.0,2.0,USG,-99,USG,-99,Lease,US Naval Base Guantanamo Bay,Guantan.,USNB Guantanamo Bay,US Naval Base Guantanamo Bay,None
277,UZB,0.0,2.0,UZB,UZB,UZB,860,Sovereign country,Uzbekistan,Uzb.,Uzbekistan,Uzbekistan,UZB
278,VAT,0.0,2.0,VAT,VAT,VAT,336,Sovereign country,Vatican,Vat.,Vatican,Vatican,VAT
279,VCT,0.0,2.0,VCT,VCT,VCT,670,Sovereign country,Saint Vincent and the Grenadines,St.V.G.,St. Vin. and Gren.,Saint Vincent and the Grenadines,VCT
280,VEN,0.0,2.0,VEN,VEN,VEN,862,Sovereign country,Venezuela,Ven.,Venezuela,Venezuela,VEN
281,VGB,1.0,2.0,VGB,VGB,VGB,92,Dependency,British Virgin Islands,V.I. (Br.),British Virgin Is.,British Virgin Islands,VGB
282,VIR,1.0,2.0,VIR,VIR,VIR,850,Dependency,United States Virgin Islands,V.I. (U.S.),U.S. Virgin Is.,United States Virgin Islands,VIR
283,VNM,0.0,2.0,VNM,VNM,VNM,704,Sovereign country,Vietnam,Viet.,Vietnam,Vietnam,VNM
284,VUT,0.0,2.0,VUT,VUT,VUT,548,Sovereign country,Vanuatu,Van.,Vanuatu,Vanuatu,VUT
285,-99,1.0,3.0,PSX,PSE,WEB,275,Geo unit,West Bank,W.B.,West Bank,West Bank,PSE
286,WLF,1.0,2.0,WLF,WLF,WLF,876,Dependency,Wallis and Futuna,Wlf.,Wallis and Futuna Is.,Wallis and Futuna Islands,WLF
287,-99,1.0,3.0,GBR,-99,WLS,-99,Geo unit,Wales,Wales,Wales,Wales,GBR
288,-99,1.0,3.0,UMI,WQI,WQI,-99,Geo unit,Wake Atoll,Wake At.,Wake Atoll,Wake Atoll,WQI
289,-99,1.0,2.0,WSB,GBR,WSB,-99,Dependency,Akrotiri Sovereign Base Area,Akr.,Akrotiri,Akrotiri,None
290,WSM,0.0,2.0,WSM,WSM,WSM,882,Sovereign country,Samoa,Samoa,Samoa,Samoa,WSM
291,YEM,0.0,2.0,YEM,YEM,YEM,887,Sovereign country,Yemen,Yem.,Yemen,Yemen,YEM
292,ZAF,0.0,2.0,ZAF,ZAF,ZAF,710,Sovereign country,South Africa,S.Af.,South Africa,South Africa,ZAF
293,ZMB,0.0,2.0,ZMB,ZMB,ZMB,894,Sovereign country,Zambia,Zambia,Zambia,Zambia,ZMB
294,ZWE,0.0,2.0,ZWE,ZWE,ZWE,716,Sovereign country,Zimbabwe,Zimb.,Zimbabwe,Zimbabwe,ZWE
