,ADM0_A3_IS,ISO_A3,ISO_N3,ABBREV,GEOUNIT,NAME,NAME_LONG
83,EST,EST,233,Est.,Estonia,Estonia,Estonia
84,ETH,ETH,231,Eth.,Ethiopia,Ethiopia,Ethiopia
85,FIN,FIN,246,Fin.,Finland,Finland,Finland
86,FJI,FJI,242,Fiji,Fiji,Fiji,Fiji
87,FLK,FLK,238,Flk. Is.,Falkland Islands,Falkland Is.,Falkland Islands
88,FQI,-99,-99,Baker I.,Baker Island,Baker I.,Baker Island
89,FRO,FRO,234,Faeroe Is.,Faroe Islands,Faeroe Is.,Faeroe Islands
90,FSM,FSM,583,F.S.M.,Federated States of Micronesia,Micronesia,Federated States of Micronesia
91,FRA,FRA,249,Fr.,France,France,France
92,GAB,GAB,266,Gabon,Gabon,Gabon,Gabon
93,PSE,-99,275,Gaza,Gaza,Gaza,Gaza
94,GEO,-99,-99,Ajaria,Ajaria,Adjara,Adjara
95,GEO,-99,-99,Geo.,Georgia,Georgia,Georgia
96,GGY,GGY,831,Guern.,Guernsey,Guernsey,Guernsey
97,GHA,GHA,288,Ghana,Ghana,Ghana,Ghana
98,GIB,GIB,292,Gib.,Gibraltar,Gibraltar,Gibraltar
99,GIN,GIN,324,Gin.,Guinea,Guinea,Guinea
100,GLP,GLP,312,Guad.,Guadeloupe,Guadeloupe,Guadeloupe
101,GMB,GMB,270,Gambia,Gambia,Gambia,The Gambia
102,GNB,GNB,624,GnB.,Guinea Bissau,Guinea-Bissau,Guinea-Bissau
103,GNQ,GNQ,226,Eq. G.,Equatorial Guinea,Eq. Guinea,Equatorial Guinea
104,GRC,GRC,300,Greece,Greece,Greece,Greece
105,GRD,GRD,308,Gren.,Grenada,Grenada,Grenada
106,GRL,GRL,304,Grlnd.,Greenland,Greenland,Greenland
107,GTM,GTM,320,Guat.,Guatemala,Guatemala,Guatemala
108,GUF,GUF,254,Fr. G.,French Guiana,French Guiana,French Guiana
109,GUM,GUM,316,Guam,Guam,Guam,Guam
110,GUY,GUY,328,Guy.,Guyana,Guyana,Guyana
111,HKG,HKG,344,H.K.,Hong Kong S.A.R.,Hong Kong,Hong Kong
112,HMD,HMD,334,H.M.Is.,Heard Island and McDonald Islands,Heard I. and McDonald Is.,Heard I. and McDonald Islands
113,HND,HND,340,Hond.,Honduras,Honduras,Honduras
114,HQI,-99,-99,How. I.,Howland Island,Howland I.,Howland Island
115,HRV,HRV,191,Cro.,Croatia,Croatia,Croatia
116,HTI,HTI,332,Haiti,Haiti,Haiti,Haiti
117,HUN,HUN,348,Hun.,Hungary,Hungary,Hungary
118,IDN,IDN,360,Indo.,Indonesia,Indonesia,Indonesia
119,IMN,IMN,833,IoMan,Isle of Man,Isle of Man,Isle of Man
120,IND,IND,356,India,India,India,India
121,IOT,IOT,86,I.O.T.,British Indian Ocean Territory,Br. Indian Ocean Ter.,British Indian Ocean Territory
122,IRQ,-99,-99,KRG,Iraqi Kurdistan,Iraqi Kurdistan,Iraqi Kurdistan
123,IRL,IRL,372,Ire.,Ireland,Ireland,Ireland
124,IRN,IRN,364,Iran,Iran,Iran,Iran
125,IRQ,-99,-99,Iraq,Iraq,Iraq,Iraq
126,ISL,ISL,352,Iceland,Iceland,Iceland,Iceland
127,ISR,ISR,376,Isr.,Israel,Israel,Israel
128,ITA,ITA,380,Italy,Italy,Italy,Italy
129,JAM,JAM,388,Jam.,Jamaica,Jamaica,Jamaica
130,JEY,JEY,832,Jey.,Jersey,Jersey,Jersey
131,JOR,JOR,400,Jord.,Jordan,Jordan,Jordan
132,JPN,JPN,392,Japan,Japan,Japan,Japan
133,JQI,-99,-99,John. At.,Johnston Atoll,Johnston Atoll,Johnston Atoll
134,KAZ,-99,-99,Bayk.,Baykonur Cosmodrome,Baikonur,Baikonur Cosmodrome
135,-99,-99,-99,Siachen,Siachen Glacier,Siachen Glacier,Siachen Glacier
136,KAZ,KAZ,398,Kaz.,Kazakhstan,Kazakhstan,Kazakhstan
137,KEN,KEN,404,Ken.,Kenya,Kenya,Kenya
138,KGZ,KGZ,417,Kgz.,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan
139,KHM,KHM,116,Camb.,Cambodia,Cambodia,Cambodia
140,KIR,KIR,296,Kir.,Kiribati,Kiribati,Kiribati
141,KNA,KNA,659,St.K.N.,Saint Kitts and Nevis,St. Kitts and Nevis,Saint Kitts and Nevis
142,-99,-99,-99,DMZ South,Korean Demilitarized Zone (south),Korean DMZ (south),Korean DMZ (south)
143,-99,-99,-99,DMZ North,Korean Demilitarized Zone (north),Korean DMZ (north),Korean DMZ (north)
144,KOR,KOR,410,S.K.,South Korea,Korea,Republic of Korea
145,SRB,-99,-99,Kos.,Kosovo,Kosovo,Kosovo
146,KQI,-99,-99,King. Rf.,Kingman Reef,Kingman Reef,Kingman Reef
147,KWT,KWT,414,Kwt.,Kuwait,Kuwait,Kuwait
