unicef_region,iso3,country,vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Western Europe,DNK,Denmark,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,DJI,Djibouti,RotaC,86,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,DMA,Dominica,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,DOM,Dominican Republic,RotaC,75,83,86,69,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ECU,Ecuador,RotaC,80,78,81,83,87,90,94,97,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,EGY,Egypt,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,SLV,El Salvador,RotaC,93,93,96,92,93,90,90,62,83,78,25,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GNQ,Equatorial Guinea,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ERI,Eritrea,RotaC,96,96,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,EST,Estonia,RotaC,85,64,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ETH,Ethiopia,RotaC,63,63,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,FJI,Fiji,RotaC,99,99,99,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,FIN,Finland,RotaC,84,91,92,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,FRA,France,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GAB,Gabon,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GMB,Gambia,RotaC,95,97,92,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,GEO,Georgia,RotaC,75,72,69,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,DEU,Germany,RotaC,66,70,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GHA,Ghana,RotaC,94,88,98,87,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,GRC,Greece,RotaC,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,GRD,Grenada,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,GTM,Guatemala,RotaC,82,79,54,81,81,71,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GIN,Guinea,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GNB,Guinea-Bissau,RotaC,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,GUY,Guyana,RotaC,96,96,95,94,91,77,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,HTI,Haiti,RotaC,48,43,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,HND,Honduras,RotaC,97,97,97,97,97,97,97,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,HUN,Hungary,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,ISL,Iceland,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,IND,India,RotaC,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,IDN,Indonesia,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,IRN,Iran (Islamic Republic of),RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,IRQ,Iraq,RotaC,34,34,29,52,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,IRL,Ireland,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,ISR,Israel,RotaC,81,80,81,80,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,ITA,Italy,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,JAM,Jamaica,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,JPN,Japan,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,JOR,Jordan,RotaC,97,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,KAZ,Kazakhstan,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,KEN,Kenya,RotaC,74,66,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,KIR,Kiribati,RotaC,79,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,KWT,Kuwait,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,KGZ,Kyrgyzstan,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,LAO,Lao People’s Democratic Republic,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,LVA,Latvia,RotaC,83,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,LBN,Lebanon,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,LSO,Lesotho,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,LBR,Liberia,RotaC,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,LBY,Libya,RotaC,97,93,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,LTU,Lithuania,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,LUX,Luxembourg,RotaC,89,89,89,89,89,88,87,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MDG,Madagascar,RotaC,78,69,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MWI,Malawi,RotaC,81,84,83,81,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MYS,Malaysia,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,MDV,Maldives,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,MLI,Mali,RotaC,60,33,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,MLT,Malta,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MHL,Marshall Islands,RotaC,38,90,44,52,60,43,25,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,MRT,Mauritania,RotaC,73,56,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MUS,Mauritius,RotaC,92,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,MEX,Mexico,RotaC,72,81,85,81,99,98,90,93,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,FSM,Micronesia (Federated States of ),RotaC,46,46,40,33,45,40,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,MCO,Monaco,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MNG,Mongolia,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,MNE,Montenegro,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,MAR,Morocco,RotaC,99,90,90,90,88,80,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MOZ,Mozambique,RotaC,76,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MMR,Myanmar,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,NAM,Namibia,RotaC,86,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,NRU,Nauru,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,NPL,Nepal,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,NLD,Netherlands,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,NZL,New Zealand,RotaC,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
