unicef_region,iso3,country,vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
West & Central Africa,CIV,Côte d’Ivoire,MCV1,77,72,62,76,74,49,70,67,63,67,73,84,78,70,71,71,68,57,66,68,65,57,55,52,54,57,56,41,31,30,31,31,31,,,,
Eastern Europe & Central Asia,HRV,Croatia,MCV1,90,93,94,94,95,96,96,95,98,96,95,96,96,95,95,94,93,92,91,91,92,92,90,90,90,,,,,,,,,,,,
Latin America & Caribbean,CUB,Cuba,MCV1,99,99,99,99,99,99,99,99,98,97,96,98,99,99,98,96,94,96,99,96,99,99,99,96,99,99,94,98,89,99,80,85,82,94,55,49,48
Western Europe,CYP,Cyprus,MCV1,90,90,86,86,86,87,87,87,87,87,87,86,86,86,86,86,86,87,89,90,90,83,82,81,80,78,77,76,74,91,60,43,25,19,21,28,29
Western Europe,CZE,Czech Republic,MCV1,98,99,99,99,98,98,98,98,97,98,97,97,97,97,98,97,97,97,95,96,97,96,97,98,,,,,,,,,,,,,
East Asia & Pacific,PRK,Democratic People’s Republic of Korea,MCV1,99,98,99,99,99,99,99,98,98,99,96,96,95,95,98,92,78,63,49,34,50,67,83,99,99,98,98,99,58,35,44,38,31,30,29,31,29
West & Central Africa,COD,Democratic Republic of the Congo,MCV1,77,79,77,76,72,74,74,72,64,68,63,61,57,49,42,35,46,15,20,20,21,27,39,33,25,17,38,41,44,41,39,40,30,30,25,23,18
Western Europe,DNK,Denmark,MCV1,94,91,90,89,90,87,85,84,87,89,90,95,96,96,95,94,99,92,91,84,85,88,88,81,85,86,84,80,72,82,,,,,,,
Eastern & Southern Africa,DJI,Djibouti,MCV1,75,74,71,80,83,84,85,84,73,74,67,65,60,66,62,49,50,23,21,31,41,41,42,41,41,53,85,75,68,22,19,27,20,18,15,,
Latin America & Caribbean,DMA,Dominica,MCV1,96,96,94,93,99,99,99,99,99,96,97,98,99,99,99,99,99,99,98,99,99,99,99,99,99,98,88,88,90,87,97,93,85,63,43,,
Latin America & Caribbean,DOM,Dominican Republic,MCV1,85,90,88,83,88,87,85,84,83,82,81,79,81,83,86,88,85,83,80,79,79,78,76,75,73,72,70,65,29,71,71,54,19,24,25,18,30
Latin America & Caribbean,ECU,Ecuador,MCV1,86,84,85,97,96,94,95,97,98,98,97,93,99,99,99,99,99,99,89,77,79,81,83,85,69,54,60,57,53,47,50,51,54,34,45,31,24
Middle East & North Africa,EGY,Egypt,MCV1,95,92,93,96,93,96,96,95,92,97,98,98,97,98,97,97,98,96,98,92,92,89,89,89,89,89,86,86,85,76,78,74,47,41,41,41,41
Latin America & Caribbean,SLV,El Salvador,MCV1,90,95,95,94,93,89,92,91,95,99,98,99,93,90,93,95,97,94,99,98,94,93,80,86,55,54,98,73,63,48,51,71,41,46,43,44,45
West & Central Africa,GNQ,Equatorial Guinea,MCV1,30,27,44,42,35,51,51,51,51,51,51,51,51,51,51,51,51,51,82,82,81,81,80,79,82,85,88,18,46,32,17,11,,,,,
Eastern & Southern Africa,ERI,Eritrea,MCV1,93,85,90,94,98,99,99,99,97,97,95,95,96,92,83,84,76,88,79,73,66,58,51,34,,,,,,,,,,,,,
Western Europe,EST,Estonia,MCV1,93,93,93,94,94,94,95,95,95,96,96,96,96,95,95,95,93,92,89,88,86,81,76,74,,,,,,,,,,,,,
Eastern & Southern Africa,ETH,Ethiopia,MCV1,70,70,70,62,65,68,64,59,54,49,44,40,35,35,36,35,36,37,44,51,54,38,54,22,12,17,38,23,15,13,10,12,8,7,7,3,4
East Asia & Pacific,FJI,Fiji,MCV1,94,94,94,94,94,94,94,94,94,94,92,90,88,86,85,83,81,79,77,75,94,94,96,96,91,93,84,65,69,64,61,57,22,25,2,40,32
Western Europe,FIN,Finland,MCV1,94,95,96,97,97,97,98,98,97,98,97,97,97,97,96,96,96,96,96,96,98,98,99,99,99,97,97,95,98,92,87,85,83,81,75,70,
Western Europe,FRA,France,MCV1,90,91,91,89,90,89,89,89,89,90,89,87,88,87,86,85,84,83,82,83,84,83,80,78,76,74,71,58,51,45,39,35,26,15,,,
West & Central Africa,GAB,Gabon,MCV1,64,68,61,70,71,72,62,63,67,62,55,55,55,55,55,55,55,55,56,56,57,57,60,63,66,71,76,76,68,67,66,58,,,,,
West & Central Africa,GMB,Gambia,MCV1,97,97,96,96,95,91,92,96,92,88,89,91,92,90,90,89,89,90,90,91,94,91,89,87,83,87,86,85,80,88,62,75,79,70,71,70,69
Eastern Europe & Central Asia,GEO,Georgia,MCV1,93,96,92,97,93,91,94,83,97,97,96,90,86,76,75,74,73,76,73,69,65,61,63,61,16,,,,,,,,,,,,
Western Europe,DEU,Germany,MCV1,97,97,97,97,97,97,97,97,97,97,96,96,96,95,94,94,92,92,92,91,91,92,90,89,75,75,75,75,75,75,70,50,48,47,50,50,25
West & Central Africa,GHA,Ghana,MCV1,89,89,92,89,88,91,93,93,86,95,85,83,83,80,78,78,90,81,78,73,71,70,68,66,64,63,61,65,59,51,31,21,10,16,21,23,16
Western Europe,GRC,Greece,MCV1,97,97,97,99,99,99,99,99,99,99,98,96,95,94,92,91,89,88,89,90,90,70,70,72,72,72,76,76,82,81,39,77,75,,,,
Latin America & Caribbean,GRD,Grenada,MCV1,95,99,94,94,94,95,95,98,99,98,98,99,74,99,96,99,92,94,97,92,85,88,87,99,73,96,85,89,48,77,62,49,31,7,5,,
Latin America & Caribbean,GTM,Guatemala,MCV1,86,77,67,85,93,89,93,92,96,86,95,93,95,94,92,91,86,83,79,74,69,83,66,71,59,49,68,60,55,24,55,23,24,9,12,8,23
West & Central Africa,GIN,Guinea,MCV1,54,53,52,62,61,62,58,53,55,57,51,51,50,48,46,44,42,40,52,56,61,61,58,55,52,42,35,27,27,28,28,29,29,30,34,15,
West & Central Africa,GNB,Guinea-Bissau,MCV1,81,81,81,81,81,83,76,69,71,73,74,76,75,74,73,72,71,70,61,51,49,45,68,68,60,52,53,65,52,68,59,35,31,27,,,
Latin America & Caribbean,GUY,Guyana,MCV1,99,99,99,99,99,98,95,97,95,96,90,92,88,89,93,92,86,87,93,82,91,77,83,92,73,76,73,69,55,52,42,40,56,51,68,,
Latin America & Caribbean,HTI,Haiti,MCV1,53,53,53,65,65,65,64,63,62,60,59,58,57,57,56,55,55,54,53,52,50,49,48,44,39,35,31,31,59,23,26,21,8,6,3,,
Latin America & Caribbean,HND,Honduras,MCV1,88,88,88,88,88,88,89,90,87,89,91,90,87,91,95,98,98,98,98,89,91,89,93,94,89,86,90,94,76,57,60,53,44,49,48,34,31
Western Europe,HUN,Hungary,MCV1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Western Europe,ISL,Iceland,MCV1,91,93,90,91,90,94,93,92,96,95,95,90,93,93,91,88,91,94,96,99,99,99,98,99,99,99,99,99,99,97,95,96,96,81,,,
South Asia,IND,India,MCV1,88,87,85,83,83,84,82,78,72,70,69,68,64,60,56,57,56,56,53,55,66,72,67,59,51,43,56,42,32,24,10,1,,,,,
East Asia & Pacific,IDN,Indonesia,MCV1,76,75,75,81,82,80,78,74,76,76,79,77,76,74,72,76,76,77,77,77,79,63,66,68,65,61,58,54,51,48,45,26,13,6,,,
Middle East & North Africa,IRN,Iran (Islamic Republic of),MCV1,99,99,99,98,98,99,99,99,98,97,99,94,96,99,99,96,99,99,99,95,99,95,97,96,96,84,85,79,83,55,55,62,38,38,55,48,39
Middle East & North Africa,IRQ,Iraq,MCV1,66,57,57,63,69,77,75,81,76,64,62,69,69,73,77,82,86,90,88,85,82,80,72,63,67,71,75,79,85,91,75,70,25,12,11,10,9
Western Europe,IRL,Ireland,MCV1,92,93,93,92,92,92,90,90,89,87,86,84,81,78,73,73,79,77,77,77,77,77,78,78,78,78,78,78,68,66,65,63,10,10,,,
Middle East & North Africa,ISR,Israel,MCV1,97,98,97,98,96,97,96,97,98,97,96,94,97,96,95,95,95,94,94,97,96,93,92,92,94,94,91,88,86,88,88,85,85,85,88,83,81
Western Europe,ITA,Italy,MCV1,85,85,87,90,90,90,91,90,90,90,88,87,86,84,81,77,74,70,55,57,55,50,50,50,50,50,43,,,,,,,,,,
Latin America & Caribbean,JAM,Jamaica,MCV1,95,91,92,94,93,88,89,88,88,76,87,84,86,78,86,85,88,82,88,88,96,90,82,80,63,77,74,71,68,62,36,64,60,15,12,,
East Asia & Pacific,JPN,Japan,MCV1,96,96,98,95,96,94,94,94,95,96,97,98,98,98,98,98,96,95,95,94,94,93,81,68,69,71,73,77,76,75,74,73,73,70,66,68,69
Middle East & North Africa,JOR,Jordan,MCV1,96,94,98,97,98,98,98,95,95,95,99,95,99,96,95,99,94,83,93,95,94,92,91,88,91,85,87,84,87,87,81,73,65,56,48,40,29
