unicef_region,iso3,country,vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
South Asia,AFG,Afghanistan,MCV2,39,39,39,35,33,31,29,24,23,4,18,9,2,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,ALB,Albania,MCV2,98,98,98,99,99,99,98,98,98,95,94,97,96,93,93,90,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,DZA,Algeria,MCV2,96,99,99,93,95,96,95,98,96,95,98,94,94,96,93,73,78,,,,,,,,,,,,,,,,,,,,
Western Europe,AND,Andorra,MCV2,,88,90,91,89,82,86,82,86,80,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,AGO,Angola,MCV2,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ATG,Antigua and Barbuda,MCV2,87,87,87,87,90,89,92,94,83,78,68,46,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ARG,Argentina,MCV2,88,87,96,83,89,91,94,96,88,84,91,88,93,80,83,56,56,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,ARM,Armenia,MCV2,97,97,97,97,97,98,97,96,94,93,85,92,94,93,95,96,94,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,AUS,Australia,MCV2,94,93,93,92,91,90,88,82,80,89,87,85,85,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,AUT,Austria,MCV2,89,88,87,82,78,73,69,64,62,56,61,54,47,46,39,34,35,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,AZE,Azerbaijan,MCV2,98,98,98,98,95,92,89,83,79,75,68,67,67,66,67,65,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BHS,Bahamas,MCV2,74,76,72,69,73,79,78,76,80,84,88,88,95,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,BHR,Bahrain,MCV2,99,99,99,99,99,98,98,99,97,99,99,99,99,99,97,99,92,,,,,,,,,,,,,,,,,,,,
South Asia,BGD,Bangladesh,MCV2,93,83,83,70,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BRB,Barbados,MCV2,87,89,91,89,90,94,96,97,97,96,94,98,99,71,41,12,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,BLR,Belarus,MCV2,98,99,98,99,97,99,99,99,99,99,95,98,98,98,98,97,92,,,,,,,,,,,,,,,,,,,,
Western Europe,BEL,Belgium,MCV2,85,85,85,85,85,83,83,83,81,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BLZ,Belize,MCV2,96,95,92,92,93,98,91,92,90,89,92,87,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,BEN,Benin,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,BTN,Bhutan,MCV2,90,94,92,89,90,95,85,79,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BOL,Bolivia (Plurinational State of),MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,BIH,Bosnia and Herzegovina,MCV2,78,88,92,93,94,88,91,88,92,95,93,90,88,85,90,86,74,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,BWA,Botswana,MCV2,74,80,85,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BRA,Brazil,MCV2,72,80,89,69,70,71,53,55,56,49,55,61,68,74,80,95,95,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,BRN,Brunei Darussalam,MCV2,97,97,96,92,92,93,93,99,90,92,94,95,97,96,96,95,95,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,BGR,Bulgaria,MCV2,88,87,89,94,94,94,96,93,94,94,93,92,91,89,79,85,83,,,,,,,,,,,,,,,,,,,,
West & Central Africa,BFA,Burkina Faso,MCV2,50,50,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,BDI,Burundi,MCV2,72,65,60,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,CPV,Cabo Verde,MCV2,95,95,79,89,94,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,KHM,Cambodia,MCV2,58,58,59,49,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,CMR,Cameroon,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
